GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04101	1.8123	1.3617	1.7922	1.4435	1.5700	1.8255	1.6509	1.9381	1.8574	1.8566	1.7519	1.8954	1.5487	1.6345	1.6627	1.8244	1.5881	1.4022	1.6801	1.7195	1.6070	1.8057	1.6686	1.9980	1.7695	1.7188	1.8314	1.5783	1.6557	1.4265	1.7137	1.8205	1.8428	1.4887	1.5861	1.2340	1.6682	2.5063	2.2336	2.7130	2.1957	2.4870	1.9590	2.3159	2.2216	2.3516	2.4168	2.8868	1.8618	1.4144	1.3726	2.1877
CLUG_04102	1.3645	1.2918	1.4340	1.3948	1.4249	1.3568	1.3811	1.3711	1.1953	1.3318	1.4750	1.4360	1.2642	1.2719	1.2932	1.2786	1.3686	1.3313	1.2951	1.2395	1.3724	1.4558	1.3573	1.4020	1.4986	1.5533	1.4874	1.3651	1.6461	1.4570	1.4044	1.5529	1.3696	1.4991	1.4019	1.2221	1.4042	1.7211	1.6578	1.7520	1.3495	1.4860	1.3031	1.5718	1.5978	1.5459	1.6083	1.7467	1.4992	1.3555	1.2819	1.4418
CLUG_04103	1.4607	1.3456	1.4665	1.4535	1.4041	1.3612	1.5247	1.4527	1.1502	1.3819	1.4268	1.4201	1.2921	1.3328	1.3768	1.2679	1.4585	1.3817	1.3886	1.3011	1.4817	1.4847	1.3714	1.4298	1.5684	1.6612	1.6222	1.4159	1.7413	1.5530	1.4531	1.6585	1.4525	1.5880	1.4730	1.2936	1.4779	1.8024	1.7909	1.8841	1.4137	1.5430	1.3449	1.6902	1.6918	1.6395	1.7010	1.8029	1.5033	1.4556	1.3603	1.4934
CLUG_04104	1.5214	1.4123	1.4840	1.4192	1.4730	1.5354	1.4985	1.5487	1.3851	1.4638	1.5391	1.6051	1.4015	1.4087	1.4046	1.3530	1.5670	1.3317	1.5455	1.3928	1.4938	1.4959	1.5789	1.3995	1.8276	1.8187	1.8692	1.5777	1.8693	1.6929	1.6493	1.7314	1.6161	1.6278	1.5904	1.4817	2.0087	2.0390	1.9011	2.1616	1.5417	1.6778	1.5171	1.8184	1.8408	1.8726	1.9169	2.1031	1.7275	1.4752	1.4969	1.6241
CLUG_04105	1.4862	1.3275	1.4683	1.2972	1.3949	1.4376	1.5592	1.5015	1.3025	1.3838	1.4299	1.5051	1.3374	1.3664	1.3448	1.2544	1.4118	1.4007	1.3876	1.2845	1.5284	1.4725	1.3386	1.4414	1.6420	1.6308	1.6358	1.5321	1.7930	1.5789	1.4956	1.7471	1.4614	1.5405	1.4628	1.4315	1.4868	1.9592	1.8414	2.0049	1.4595	1.6421	1.4104	1.6742	1.7723	1.7417	1.7845	1.9207	1.5730	1.4205	1.4400	1.4956
CLUG_04106	1.3362	1.2292	1.4448	1.4212	1.3894	1.3658	1.4434	1.3724	1.3430	1.4198	1.5202	1.5379	1.2966	1.2799	1.3006	1.2328	1.3943	1.3183	1.4131	1.2869	1.4012	1.4043	1.3895	1.2903	1.6214	1.6358	1.6897	1.5202	1.7353	1.6635	1.5050	1.6621	1.4986	1.6106	1.4193	1.4279	1.7007	1.8942	1.8548	1.9790	1.4755	1.6019	1.4432	1.7196	1.7616	1.7493	1.8339	1.9789	1.6325	1.4650	1.4036	1.5628
CLUG_04107	1.2770	1.1682	1.3761	1.2290	1.2880	1.2986	1.3100	1.2033	1.3273	1.2467	1.3207	1.2984	1.1207	1.1640	1.1502	1.1427	1.4082	1.1932	1.3047	1.1235	1.3675	1.2894	1.2441	1.2665	1.6614	1.5905	1.5825	1.4842	1.7439	1.4483	1.3853	1.5552	1.4291	1.4710	1.4964	1.2760	1.7392	2.0856	1.8105	1.9645	1.4093	1.4858	1.3649	1.6519	1.6544	1.6679	1.7705	1.7863	1.4648	1.3249	1.3072	1.5283
CLUG_04108	1.0401	0.8765	0.9917	1.1292	1.0804	0.9548	1.1071	1.1097	0.9711	0.9970	1.0587	1.2700	0.9630	0.9375	0.9460	0.8593	1.0923	0.8680	0.9705	0.9410	1.0895	1.0260	1.0893	0.9434	1.3584	1.1979	1.4610	1.2679	1.3752	1.2411	1.2807	1.3732	1.0970	1.2794	1.2072	1.1005	1.4903	1.5120	1.5150	1.5585	1.1432	1.3311	1.2080	1.3346	1.4736	1.4563	1.4772	1.5342	1.0925	1.1771	1.1905	1.2681
CLUG_04109	1.2729	1.3530	1.4600	1.4215	1.4459	1.4448	1.4231	1.5300	1.3532	1.4039	1.4896	1.4559	1.3748	1.4112	1.3803	1.3085	1.6251	1.4140	1.3742	1.3856	1.4583	1.5466	1.4643	1.4319	1.6682	1.6444	1.7074	1.5320	1.7399	1.6301	1.5844	1.7582	1.5164	1.5552	1.5486	1.4090	1.6205	1.8700	1.7853	1.9707	1.5103	1.5832	1.4959	1.7245	1.7944	1.7723	1.8179	1.9550	1.6571	1.4596	1.4340	1.5906
CLUG_04110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6478	0.0202	0.0000	0.0022	0.0185	0.0007	0.0000	0.0012	0.0000	0.0000	0.0119	0.0003	0.0142	0.0025	4.5006	4.6268	4.2143	4.4739	4.0287	4.0192	4.5813	4.5560	4.4828	4.6727	4.8640	4.4968	0.0005	0.0001	4.5715
