GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_04111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.6072	0.0063	0.0000	0.0003	0.0072	0.0004	0.0001	0.0008	0.0000	0.0000	0.0023	0.0003	0.0056	0.0006	2.4308	2.5294	2.3585	2.4140	2.1624	2.1331	2.6002	2.5262	2.4721	2.5212	2.7324	2.4788	0.0003	0.0003	2.5311
CLUG_04112	1.4906	1.4491	1.6333	1.4679	1.5638	1.5117	1.4987	1.6924	1.5603	1.5675	1.6179	1.7782	1.4409	1.4314	1.4588	1.3710	1.5501	1.3934	1.6145	1.4185	1.7302	1.5446	1.4818	1.6065	1.8140	1.8325	1.8150	1.6553	2.0192	1.6799	1.6170	1.8730	1.6269	1.7342	1.6045	1.4755	1.9166	2.1307	1.9285	2.0835	1.6214	1.7657	1.5446	1.9022	1.9510	1.8395	1.9687	2.0883	1.7580	1.5820	1.5792	1.6498
CLUG_04113	1.2759	1.2182	1.3866	1.2730	1.2627	1.2578	1.2496	1.3247	1.2443	1.2639	1.3072	1.4088	1.2284	1.1957	1.1988	1.1382	1.3358	1.2395	1.3327	1.2159	1.3415	1.3636	1.3999	1.3101	1.5581	1.5719	1.5652	1.4615	1.6185	1.5096	1.4397	1.6371	1.3966	1.4709	1.4246	1.2812	1.4938	1.7929	1.7464	1.8635	1.3757	1.4976	1.3745	1.6263	1.7150	1.6066	1.6559	1.7881	1.5067	1.3220	1.3424	1.4649
CLUG_04114	1.4064	1.4566	1.5944	1.4302	1.4683	1.5065	1.4772	1.5244	1.4747	1.4817	1.5678	1.5784	1.3813	1.3603	1.4540	1.4280	1.5777	1.3368	1.5667	1.3379	1.5687	1.5720	1.4881	1.4901	1.7456	1.7168	1.7240	1.6004	1.8501	1.6277	1.5823	1.8471	1.6284	1.5944	1.5436	1.4801	1.6858	2.0030	1.8303	2.0516	1.5386	1.7109	1.5414	1.7433	1.8905	1.7988	1.9038	2.1365	1.6453	1.4662	1.5352	1.5565
CLUG_04115	1.7197	1.7393	1.8278	1.6309	1.7338	1.5822	1.6093	1.8020	1.8833	1.7936	1.8740	1.6560	1.7132	1.6610	1.7423	1.6863	1.8463	1.5640	1.7745	1.6336	1.7848	1.6942	1.7779	1.6614	1.9523	2.0689	1.9578	1.7874	2.1112	1.8194	1.7716	2.0063	1.7690	1.9027	1.7677	1.6326	1.9772	2.2420	2.0453	2.1668	1.6504	1.8245	1.6694	2.0436	1.9864	1.9307	2.0401	2.1782	1.8498	1.7121	1.6408	1.6305
CLUG_04116	1.3800	1.3956	1.3939	1.4254	1.4176	1.3468	1.2752	1.4999	1.4185	1.4031	1.4389	1.3830	1.3770	1.2998	1.3716	1.4249	1.5482	1.3452	1.5657	1.2742	1.4882	1.4720	1.5092	1.4605	1.6098	1.6808	1.6281	1.4829	1.7904	1.5525	1.5217	1.7541	1.4431	1.5612	1.4954	1.3704	1.6503	1.9627	1.8507	1.9334	1.4314	1.5898	1.4002	1.6587	1.7101	1.7362	1.8783	1.9915	1.6041	1.4648	1.4604	1.5322
CLUG_04117	1.3708	1.3043	1.4739	1.3725	1.3764	1.3564	1.2489	1.4065	1.5203	1.3915	1.4212	1.3626	1.3524	1.3450	1.3358	1.2969	1.5470	1.2792	1.4468	1.2746	1.3993	1.3454	1.4430	1.4586	1.6198	1.6473	1.6135	1.4591	1.7338	1.4341	1.5293	1.7074	1.4355	1.5191	1.4274	1.3862	1.5456	1.8934	1.8013	1.9436	1.4534	1.5550	1.4317	1.7117	1.6265	1.7388	1.7057	1.9725	1.5629	1.4217	1.3739	1.5440
CLUG_04118	1.3932	1.4366	1.3843	1.4566	1.3681	1.2277	1.2633	1.4977	1.4050	1.4623	1.4077	1.4629	1.4534	1.3741	1.4233	1.4936	1.5499	1.3450	1.5352	1.2851	1.4391	1.4422	1.5036	1.4004	1.5840	1.7174	1.6575	1.5329	1.7691	1.5201	1.4651	1.6347	1.4071	1.5701	1.5017	1.4211	1.4956	1.9355	1.8335	1.9523	1.4509	1.5654	1.4210	1.6953	1.7792	1.7444	1.7828	1.9299	1.5325	1.4181	1.4488	1.5853
CLUG_04119	1.3671	1.3760	1.4256	1.5054	1.3962	1.3674	1.3093	1.4938	1.4599	1.4371	1.4668	1.4459	1.4416	1.3895	1.4626	1.3933	1.5237	1.3855	1.6126	1.3418	1.4446	1.5523	1.4691	1.4598	1.6069	1.8208	1.6740	1.5923	1.8762	1.5893	1.5929	1.7246	1.4731	1.6842	1.4913	1.4737	1.6185	1.9428	1.8997	2.0469	1.5833	1.6616	1.4682	1.8198	1.7920	1.7571	1.8263	2.0678	1.5805	1.4427	1.5021	1.6215
CLUG_04120	1.4383	1.3885	1.4659	1.4413	1.4809	1.2681	1.3009	1.4083	1.4983	1.4188	1.4692	1.4781	1.4051	1.3461	1.4718	1.5349	1.6057	1.3494	1.5241	1.3233	1.5456	1.5406	1.4795	1.5984	1.7030	1.8062	1.6844	1.6288	1.8710	1.5018	1.5399	1.7507	1.5264	1.7148	1.5235	1.4708	1.5360	1.9557	1.9470	2.0143	1.6209	1.6846	1.4605	1.8323	1.8559	1.8658	1.9109	2.0814	1.6771	1.4919	1.5587	1.7083
CLUG_04121	1.1748	1.2507	1.3533	1.2706	1.2649	1.2314	1.1543	1.2853	1.3440	1.3133	1.2549	1.2659	1.2614	1.1963	1.2660	1.2217	1.2152	1.2192	1.3354	1.1694	1.3343	1.2992	1.3455	1.3758	1.4854	1.6328	1.5393	1.4385	1.6498	1.3854	1.4261	1.5955	1.3183	1.5060	1.3805	1.3242	1.4365	1.8305	1.7502	1.8825	1.4594	1.5139	1.2950	1.6502	1.6822	1.6080	1.7115	1.8374	1.4817	1.3052	1.3332	1.4162
CLUG_04122	1.2837	1.3032	1.3355	1.4292	1.3671	1.2624	1.2686	1.3385	1.4194	1.3864	1.2971	1.3055	1.2965	1.2829	1.3378	1.3465	1.4631	1.3282	1.4207	1.2388	1.4150	1.3165	1.4620	1.4802	1.5826	1.7573	1.6038	1.4794	1.7021	1.4796	1.5137	1.7008	1.4303	1.6185	1.4844	1.4180	1.5677	1.8954	1.8661	1.9849	1.4839	1.5879	1.3788	1.7754	1.7363	1.7568	1.8010	1.9568	1.6231	1.4763	1.4645	1.5290
CLUG_04123	1.0056	1.0482	1.1204	1.0280	1.1022	0.9945	0.9764	1.0814	1.0296	1.0986	1.0278	1.0593	1.0345	1.0117	0.9164	0.9026	1.0910	1.0463	1.1150	1.0158	1.1193	1.0937	1.1139	1.2244	1.4595	1.5904	1.4904	1.4676	1.6434	1.3837	1.3332	1.5454	1.3414	1.5643	1.3994	1.3851	1.9816	1.7993	1.7843	1.9782	1.4510	1.4544	1.3542	1.7501	1.7204	1.6911	1.7580	1.8426	1.5791	1.3283	1.3490	1.4729
CLUG_04124	1.1682	1.1324	1.2331	1.2175	1.2710	1.1233	1.0916	1.3341	1.3841	1.3206	1.2139	1.2125	1.3112	1.2325	1.2334	1.1634	1.2926	1.1103	1.3985	1.1438	1.2851	1.3700	1.3227	1.3368	1.4644	1.6639	1.4834	1.4069	1.5902	1.4266	1.3739	1.5926	1.3767	1.5101	1.4080	1.3449	1.6473	1.8002	1.7520	1.8654	1.4203	1.5092	1.3659	1.6658	1.6851	1.6066	1.6299	1.9092	1.5056	1.3647	1.3967	1.4345
CLUG_04125	1.0713	1.1092	1.2422	1.1158	1.1483	1.0323	1.0265	1.2175	1.1368	1.1788	1.1037	1.1623	1.1784	1.0562	0.9761	0.9205	1.2042	1.0621	1.3011	1.0333	1.1585	1.1856	1.1318	1.2436	1.4579	1.5816	1.5296	1.4713	1.6249	1.3489	1.3408	1.5729	1.3187	1.5252	1.4047	1.3663	1.7635	1.8306	1.6775	1.8074	1.4507	1.4757	1.2627	1.6916	1.7081	1.6844	1.6793	1.7589	1.5043	1.3208	1.3076	1.4531
CLUG_04126	1.1889	1.2212	1.2767	1.2415	1.3368	1.1824	1.1555	1.2761	1.2898	1.2722	1.2600	1.2824	1.2325	1.2127	1.1975	1.2345	1.3517	1.1941	1.3977	1.1773	1.2556	1.2347	1.3089	1.2892	1.4650	1.5766	1.4834	1.4312	1.6244	1.3669	1.3849	1.5399	1.3445	1.4854	1.4406	1.3426	1.5156	1.7357	1.6993	1.7994	1.3881	1.4984	1.3168	1.6220	1.6424	1.6232	1.6368	1.8319	1.4431	1.3725	1.3263	1.4537
CLUG_04127	1.2840	1.4041	1.2951	1.3418	1.3433	1.1968	1.2289	1.3881	1.4134	1.3625	1.3375	1.3953	1.4104	1.3174	1.3812	1.3024	1.3707	1.3362	1.5125	1.2454	1.4189	1.4006	1.3708	1.4842	1.5060	1.6466	1.5618	1.4948	1.7062	1.4650	1.4459	1.7162	1.4841	1.5435	1.4301	1.4083	1.4520	1.8266	1.7771	1.9410	1.4692	1.5662	1.3946	1.7132	1.7020	1.7080	1.7355	1.8681	1.5343	1.4056	1.4122	1.4888
CLUG_04128	1.2045	1.1373	1.1954	1.1276	1.1756	1.0622	1.0380	1.2719	1.3139	1.2792	1.1610	1.2614	1.2073	1.0306	1.1929	1.0919	1.3553	1.1822	1.3730	1.1001	1.1803	1.1853	1.3253	1.2926	1.4759	1.5369	1.4672	1.4314	1.5846	1.4717	1.3119	1.5548	1.3475	1.4720	1.3354	1.2940	1.7126	1.6317	1.6651	1.7145	1.3997	1.3844	1.3210	1.6449	1.5638	1.5738	1.5912	1.7219	1.4509	1.2988	1.3195	1.4307
CLUG_04129	1.1041	1.1368	1.2174	1.1224	1.2180	1.2266	1.0544	1.1180	1.2265	1.2411	1.2097	1.2964	1.1866	1.1477	1.1160	1.1304	1.2618	1.0575	1.1818	1.1437	1.1593	1.2271	1.2263	1.2785	1.3534	1.5654	1.3702	1.4188	1.6269	1.3735	1.4656	1.4678	1.3572	1.4356	1.3314	1.2869	1.4927	1.6179	1.6088	1.7237	1.3977	1.4246	1.3969	1.6544	1.4971	1.4924	1.5609	1.8410	1.3950	1.2699	1.3535	1.3353
CLUG_04130	1.1931	1.1373	1.2385	1.3484	1.2732	1.1568	1.1389	1.4242	1.2336	1.3988	1.2564	1.3031	1.1865	1.2296	1.1977	1.2172	1.4433	1.2121	1.2880	1.2723	1.3839	1.3447	1.2816	1.3852	1.5611	1.6289	1.5762	1.4589	1.6446	1.4716	1.4313	1.5999	1.3729	1.5225	1.4477	1.3606	1.4631	1.7986	1.6785	1.7859	1.3780	1.5070	1.3955	1.6185	1.6123	1.6177	1.6596	1.7740	1.4386	1.3679	1.3375	1.4603
CLUG_04131	1.3028	1.2582	1.2385	1.2506	1.3424	1.2247	1.1526	1.2552	1.3694	1.3247	1.3141	1.3585	1.3676	1.2686	1.2536	1.2637	1.4064	1.2883	1.4031	1.1596	1.2784	1.3344	1.3613	1.3690	1.5227	1.6002	1.5092	1.4321	1.6060	1.4235	1.4386	1.5591	1.3830	1.4658	1.3606	1.3761	1.4035	1.7488	1.7170	1.7872	1.3691	1.5058	1.3344	1.5660	1.6111	1.6643	1.6931	1.7954	1.4708	1.3333	1.2976	1.4332
CLUG_04132	1.1702	1.2526	1.1945	1.2460	1.2189	1.1124	1.0242	1.2469	1.2793	1.2603	1.1659	1.2783	1.3059	1.1465	1.1983	1.1850	1.3702	1.1664	1.3206	1.1261	1.2094	1.2083	1.1915	1.2910	1.4292	1.4996	1.4985	1.4083	1.5443	1.3730	1.3772	1.4658	1.2775	1.3414	1.3381	1.3001	1.2762	1.5762	1.6460	1.6413	1.3625	1.4104	1.2772	1.5028	1.5805	1.4942	1.5401	1.6755	1.2661	1.2752	1.2543	1.3456
CLUG_04133	1.3361	1.2682	1.2109	1.2578	1.2015	1.1582	1.1813	1.3286	1.2592	1.3080	1.2753	1.3357	1.3082	1.2165	1.2519	1.2294	1.3260	1.1773	1.4257	1.1682	1.2680	1.3145	1.3160	1.3779	1.5037	1.5305	1.4245	1.3867	1.5145	1.3736	1.3214	1.4639	1.3369	1.4342	1.3316	1.2738	1.2918	1.6271	1.6102	1.6715	1.2959	1.4202	1.2889	1.5359	1.5566	1.4562	1.5420	1.6666	1.4045	1.2659	1.3035	1.3832
CLUG_04134	1.3646	1.2512	1.2756	1.3137	1.3143	1.1581	1.2646	1.3698	1.3718	1.2752	1.2865	1.4600	1.2732	1.2361	1.3343	1.3533	1.3189	1.2906	1.3477	1.2210	1.3793	1.3946	1.3247	1.3194	1.5436	1.5539	1.5148	1.4726	1.5711	1.4435	1.4851	1.5055	1.3627	1.4610	1.4436	1.3211	1.3043	1.6658	1.6325	1.7447	1.3612	1.4832	1.3491	1.5561	1.5998	1.5858	1.5761	1.7342	1.4486	1.3061	1.3668	1.4081
CLUG_04135	1.2194	1.1824	1.1646	1.0611	1.2215	1.0047	1.1599	1.3291	1.3022	1.2065	1.3071	1.3186	1.2567	1.1510	1.2088	1.2353	1.2808	1.1934	1.3809	1.1183	1.1077	1.2709	1.3396	1.3814	1.4470	1.4767	1.5118	1.3573	1.5180	1.3097	1.3993	1.3961	1.2938	1.3869	1.3661	1.1802	1.2682	1.4861	1.4797	1.6489	1.3744	1.4347	1.2433	1.4597	1.5822	1.4344	1.4972	1.5462	1.3319	1.2318	1.2990	1.4192
CLUG_04136	1.2243	1.2767	1.0627	1.3481	1.2331	1.0771	1.1253	1.2876	1.2621	1.2451	1.2868	1.4017	1.2693	1.2084	1.1813	1.2828	1.6817	1.2681	1.3039	1.1588	1.2359	1.3777	1.2495	1.4240	1.5111	1.5378	1.5412	1.3167	1.6606	1.4032	1.4412	1.5039	1.3476	1.4294	1.4337	1.2731	1.2200	1.5516	1.5394	1.6732	1.3894	1.4400	1.3616	1.5102	1.4536	1.4459	1.5692	1.6955	1.3047	1.3111	1.3613	1.3558
CLUG_04137	1.2589	1.1242	1.3243	1.1442	1.2867	1.0824	1.1518	1.3211	1.2846	1.2231	1.2677	1.2520	1.2542	1.1820	1.2579	1.3240	1.4282	1.2009	1.3295	1.1414	1.3275	1.2357	1.2641	1.3685	1.5585	1.5871	1.5173	1.4153	1.5721	1.3896	1.3982	1.5388	1.3552	1.3908	1.3729	1.3795	1.2879	1.6191	1.6326	1.6716	1.3347	1.4914	1.3158	1.5854	1.6076	1.5461	1.6333	1.7859	1.4762	1.2666	1.3241	1.4346
CLUG_04138	1.2239	1.2010	1.2112	1.2262	1.2696	1.1439	1.1685	1.3168	1.2743	1.3141	1.2649	1.3291	1.3323	1.2926	1.2788	1.3009	1.4366	1.2907	1.3263	1.1894	1.2682	1.2528	1.2804	1.3498	1.5240	1.5205	1.5132	1.4064	1.5466	1.4343	1.4579	1.4610	1.4192	1.3868	1.3486	1.3221	1.3703	1.6755	1.6227	1.6648	1.4086	1.3891	1.3439	1.4700	1.5379	1.5247	1.5958	1.7477	1.3950	1.3310	1.3136	1.4021
CLUG_04139	1.2210	1.1934	1.2718	1.2880	1.2633	1.1426	1.1357	1.2663	1.3065	1.2729	1.2146	1.3853	1.2708	1.2749	1.2664	1.2522	1.3818	1.2568	1.4460	1.1646	1.2255	1.2628	1.2023	1.3543	1.5048	1.5379	1.4269	1.4285	1.5541	1.4310	1.3960	1.4244	1.3557	1.3864	1.3461	1.2900	1.3149	1.5590	1.5583	1.6677	1.3590	1.4886	1.3581	1.5284	1.5495	1.4514	1.5575	1.6498	1.3566	1.3039	1.2953	1.3774
CLUG_04140	1.3278	1.2626	1.3240	1.3021	1.3297	1.2049	1.2160	1.5192	1.2940	1.3120	1.2563	1.3569	1.3102	1.2380	1.3344	1.2929	1.4215	1.1287	1.4664	1.1313	1.0940	1.2843	1.2398	1.3358	1.4710	1.5335	1.4927	1.3138	1.5352	1.4039	1.2957	1.4458	1.2659	1.3771	1.3361	1.1787	1.5650	1.4983	1.5195	1.5718	1.2870	1.4058	1.3147	1.4793	1.5901	1.5488	1.4479	1.6722	1.3334	1.2722	1.3091	1.2631
CLUG_04141	1.1077	1.2035	1.0705	1.1209	1.2661	1.0024	1.1624	1.2493	1.3009	1.2477	1.1966	1.2670	1.2001	1.0955	1.0553	1.0679	1.2048	1.0985	1.2571	1.1136	1.1956	1.3014	1.1152	1.3107	1.4089	1.4646	1.4370	1.3303	1.4813	1.3141	1.3629	1.4059	1.3373	1.4580	1.2816	1.2708	1.2943	1.6051	1.5651	1.6386	1.3014	1.4407	1.3411	1.4322	1.5767	1.4202	1.4821	1.7284	1.3961	1.2413	1.2531	1.3504
CLUG_04142	1.5059	1.3216	1.0866	1.3223	1.2486	1.1200	1.3057	1.2215	1.2996	1.2852	1.3524	1.2719	1.2106	1.3104	1.2618	1.3040	1.2995	1.3042	1.3757	1.2886	1.2400	1.2842	1.3201	1.4198	1.5436	1.6443	1.5648	1.4559	1.5903	1.5061	1.4364	1.4724	1.4194	1.4985	1.3136	1.3316	1.4148	1.6177	1.6368	1.6906	1.3387	1.4571	1.3536	1.6323	1.5519	1.6138	1.5007	1.6848	1.5162	1.3313	1.3299	1.4189
CLUG_04143	1.1797	1.1218	1.1523	1.2506	1.2500	1.1265	1.1061	1.3180	1.1720	1.2636	1.0937	1.2722	1.2878	1.1252	1.2354	1.2398	1.2766	1.2843	1.3580	1.1036	1.2438	1.1942	1.2917	1.2677	1.3938	1.5521	1.4115	1.4050	1.5281	1.4324	1.4783	1.4999	1.3744	1.4580	1.3108	1.3232	1.1805	1.5271	1.5148	1.6706	1.3652	1.4324	1.2729	1.5525	1.6374	1.4497	1.7020	1.6500	1.2864	1.3463	1.2695	1.4055
CLUG_04144	0.9636	0.8769	1.0758	1.1178	1.0634	0.9742	0.9855	1.0186	1.0586	1.1013	1.0662	1.1110	1.0369	1.0378	1.0220	1.0430	1.1109	1.0464	1.1706	1.0682	1.0960	1.1508	1.1738	1.0570	1.3019	1.3889	1.3208	1.2875	1.4280	1.2346	1.2974	1.2789	1.1577	1.2873	1.1764	1.1232	1.2216	1.4562	1.3697	1.5821	1.1530	1.2983	1.2115	1.3645	1.3098	1.3526	1.3988	1.4548	1.3254	1.1229	1.2217	1.2346
CLUG_04145	1.1328	1.0149	1.1021	1.1327	1.1903	1.0801	1.0423	1.1878	1.0191	1.0808	1.0090	1.2026	1.1832	1.0067	1.0538	1.0725	1.1121	1.0936	1.1011	1.0953	1.0133	1.0084	1.1639	1.1933	1.4250	1.4751	1.4733	1.3080	1.3706	1.3786	1.2768	1.3527	1.2473	1.3718	1.2721	1.1914	1.4882	1.5165	1.4782	1.6336	1.2343	1.3575	1.3058	1.3641	1.5404	1.4375	1.3644	1.5939	1.3970	1.1750	1.2420	1.3657
CLUG_04146	1.0889	1.0948	1.1180	1.1586	1.1157	1.1682	1.1171	1.1227	1.1767	1.2242	1.1240	1.2071	1.1959	1.0984	1.0746	1.1237	1.1693	1.1215	1.3032	1.0896	1.1321	1.1548	1.1304	1.2303	1.2991	1.4010	1.3407	1.3199	1.3523	1.2941	1.3261	1.4112	1.2450	1.3236	1.2353	1.2006	1.1743	1.5097	1.3790	1.4274	1.2483	1.3910	1.1920	1.4012	1.4100	1.3856	1.4350	1.4899	1.2699	1.1849	1.2525	1.2771
CLUG_04147	1.0402	1.2158	1.2125	1.2292	1.1482	1.0906	1.2552	1.1199	1.2332	1.3574	1.1972	1.2098	1.2659	1.1839	1.0816	1.0901	1.1893	1.1305	1.1676	1.1232	1.1124	1.1479	1.2227	1.2105	1.4241	1.4571	1.4258	1.3628	1.4721	1.2677	1.3568	1.3951	1.3198	1.4008	1.3580	1.2688	1.4502	1.4923	1.6080	1.6618	1.2748	1.4277	1.2779	1.4526	1.4969	1.4238	1.5033	1.6428	1.4040	1.2331	1.2653	1.2799
CLUG_04148	1.2206	1.2263	1.1663	1.2276	1.2313	1.1259	1.1454	1.2324	1.2798	1.3187	1.1769	1.3092	1.2589	1.2370	1.1985	1.2362	1.3295	1.1538	1.2584	1.1721	1.2416	1.2446	1.2783	1.2929	1.4318	1.5233	1.4212	1.3901	1.5099	1.3858	1.4041	1.4207	1.3456	1.4304	1.3510	1.3161	1.4343	1.5853	1.5738	1.6064	1.3033	1.4870	1.3446	1.5538	1.5721	1.5017	1.5398	1.6429	1.3694	1.3132	1.3415	1.4169
CLUG_04149	1.1780	1.0632	1.1515	1.0871	1.1581	1.1905	1.0775	1.1390	1.1673	1.2012	1.1145	1.0918	1.1882	1.1072	1.1296	1.0541	1.1858	1.0875	1.2521	1.1417	1.0479	1.2059	1.2595	1.2612	1.3451	1.4252	1.4598	1.3351	1.4208	1.3691	1.3115	1.4108	1.2575	1.3300	1.2492	1.2006	1.1795	1.5524	1.5215	1.5729	1.2267	1.4026	1.2967	1.4456	1.5565	1.4604	1.4505	1.6612	1.2688	1.2721	1.2478	1.3323
