GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05234	1.4821	1.4714	1.5633	1.5459	1.5485	1.5611	1.4418	1.5551	1.4401	1.5842	1.6725	1.4874	1.3966	1.4629	1.5279	1.4316	1.5373	1.3745	1.5380	1.4077	1.5363	1.5668	1.5433	1.5456	1.6642	1.7520	1.6744	1.5322	1.8550	1.6692	1.6055	1.7675	1.5547	1.6213	1.4757	1.4928	1.4889	1.2729	2.0436	2.0680	2.2552	1.5787	1.7135	1.5636	1.4640	1.9619	1.9193	1.9028	1.9209	1.9388	2.1813	1.8065	1.5247	1.4732	1.6671
CLUG_05235	1.5345	1.5101	1.6231	1.5184	1.5058	1.5478	1.5034	1.5828	1.5894	1.4998	1.5824	1.5692	1.3633	1.5262	1.5518	1.4208	1.5888	1.4769	1.6967	1.4393	1.5530	1.5739	1.6895	1.5841	1.6186	1.6751	1.6802	1.5500	1.8022	1.6124	1.5410	1.6862	1.4836	1.5572	1.5623	1.4698	1.4353	1.3007	1.9429	1.9119	2.1633	1.4765	1.6981	1.5287	1.4150	1.9113	1.7214	1.9036	1.7799	1.8503	2.0314	1.6130	1.4404	1.4145	1.5839
CLUG_05236	1.5745	1.4050	1.5043	1.5132	1.3675	1.5058	1.4656	1.5352	1.4677	1.5385	1.5418	1.5719	1.3822	1.5005	1.4969	1.4995	1.4783	1.4101	1.4857	1.3873	1.5684	1.6136	1.5051	1.5440	1.6251	1.6740	1.6824	1.5207	1.8099	1.6108	1.5287	1.6576	1.4548	1.5904	1.5564	1.4376	1.3955	1.2845	1.9333	1.9418	2.1589	1.5519	1.7182	1.5481	1.4303	1.9188	1.8102	1.7578	1.8190	1.9741	2.0552	1.6138	1.4146	1.3845	1.6038
CLUG_05237	1.0563	1.0905	1.2157	1.1245	1.1521	1.2370	1.1134	1.2232	1.1695	1.2432	1.2457	1.2968	1.0855	1.1034	1.0882	1.0363	1.2614	1.1840	1.3588	1.1244	1.1611	1.2681	1.1877	1.2627	1.4585	1.5321	1.4320	1.4108	1.7673	1.5014	1.3497	1.4505	1.3633	1.4308	1.3663	1.2502	1.7862	1.6374	1.7959	1.7914	2.0130	1.3231	1.4935	1.3589	1.3007	1.7263	1.6196	1.6498	1.6378	1.7216	1.7529	1.4799	1.2699	1.2595	1.3890
CLUG_05238	1.4217	1.4593	1.3972	1.3708	1.4336	1.3671	1.3215	1.4622	1.3700	1.3620	1.3958	1.4452	1.3294	1.3871	1.4079	1.3020	1.4099	1.3277	1.3765	1.2765	1.3799	1.5067	1.4004	1.4305	1.5938	1.5072	1.5929	1.4299	1.7971	1.5922	1.4564	1.6292	1.4396	1.5579	1.5415	1.4168	1.5225	1.4610	1.9329	1.8547	2.0910	1.5178	1.6079	1.5352	1.4506	1.8958	1.7141	1.7287	1.7724	1.8625	1.9637	1.6005	1.3484	1.4975	1.6342
CLUG_05239	1.3372	1.3988	1.3582	1.3649	1.3276	1.2651	1.2800	1.3497	1.3412	1.4517	1.4829	1.4662	1.3152	1.3399	1.3323	1.4496	1.4456	1.3018	1.4734	1.2766	1.4353	1.3761	1.3925	1.4204	1.5658	1.5858	1.5866	1.4806	1.6993	1.5533	1.4433	1.6006	1.3697	1.4665	1.4459	1.3803	1.4882	1.4143	1.8143	1.8421	2.0819	1.4246	1.6277	1.4725	1.3825	1.8381	1.7606	1.7328	1.8240	1.8186	1.9919	1.6018	1.3976	1.4024	1.5730
CLUG_05240	1.3004	1.3150	1.3776	1.3606	1.2773	1.3090	1.1834	1.3388	1.3356	1.3707	1.4138	1.3588	1.3108	1.2703	1.3076	1.2679	1.4307	1.2794	1.3362	1.2665	1.3601	1.3893	1.4190	1.4181	1.5045	1.5898	1.5323	1.4643	1.7170	1.5014	1.4495	1.5412	1.3867	1.5197	1.4920	1.3610	1.5428	1.4143	1.8640	1.8445	2.0811	1.4104	1.6006	1.4504	1.4372	1.8387	1.6704	1.7631	1.7605	1.8482	1.8982	1.5611	1.3600	1.3696	1.5211
CLUG_05241	1.3500	1.3369	1.3813	1.3345	1.3330	1.2596	1.2376	1.3744	1.3474	1.4674	1.3718	1.3910	1.3516	1.3087	1.2983	1.3369	1.4128	1.2571	1.4442	1.2730	1.4135	1.4678	1.4493	1.3972	1.5637	1.6293	1.6307	1.5221	1.8110	1.5853	1.5032	1.6552	1.4179	1.5871	1.5492	1.4969	1.5985	1.4674	1.9529	1.9082	2.1659	1.4741	1.6879	1.5699	1.4151	1.8448	1.7646	1.7986	1.8402	1.8592	1.9946	1.6294	1.4347	1.4498	1.5896
CLUG_05242	1.3184	1.3234	1.3479	1.3031	1.3926	1.3426	1.2678	1.3197	1.3547	1.4181	1.4060	1.3715	1.3587	1.3378	1.3342	1.3412	1.4603	1.3078	1.4474	1.2501	1.4049	1.4524	1.3757	1.4738	1.4792	1.6158	1.5515	1.5603	1.7289	1.5448	1.4453	1.6199	1.4085	1.5292	1.4451	1.4651	1.5508	1.4496	1.8758	1.9296	2.1527	1.4691	1.6042	1.4854	1.3630	1.8420	1.7966	1.8045	1.7623	1.8221	1.9492	1.6467	1.3974	1.3965	1.6092
CLUG_05243	1.2319	1.3142	1.3618	1.3821	1.2497	1.2978	1.2477	1.4691	1.2872	1.4588	1.4115	1.4526	1.3204	1.3058	1.4275	1.2908	1.4142	1.2695	1.5254	1.2584	1.3615	1.4101	1.2783	1.5194	1.4906	1.5989	1.6269	1.5706	1.6213	1.4766	1.4402	1.5937	1.3743	1.5337	1.4868	1.5148	1.4193	1.2373	1.9391	1.8322	2.1099	1.4364	1.6551	1.4090	1.3322	1.8089	1.7129	1.7941	1.8364	1.8257	1.8250	1.4810	1.3370	1.4286	1.4900
CLUG_05244	1.0139	0.9885	1.0691	0.8983	0.9166	0.9902	0.9715	1.1094	1.0293	1.1443	1.0560	1.1072	0.9737	0.9537	0.9055	0.8646	1.0100	1.0599	1.1627	0.9621	1.0199	1.1154	1.0306	1.0670	1.4986	1.5156	1.4297	1.3935	1.7547	1.4747	1.4234	1.5198	1.2998	1.4927	1.4966	1.4061	2.0380	1.8713	1.8599	1.8535	2.0176	1.4572	1.5381	1.4176	1.3669	1.7855	1.7868	1.7835	1.8053	1.8136	1.9264	1.6443	1.3069	1.3738	1.6220
CLUG_05245	1.3394	1.3270	1.3121	1.3379	1.3310	1.2397	1.1651	1.4356	1.3520	1.3968	1.3228	1.4208	1.3200	1.3517	1.3500	1.3747	1.4338	1.3067	1.5612	1.2863	1.3449	1.4219	1.3516	1.4224	1.4914	1.5545	1.5185	1.4088	1.6376	1.5179	1.4452	1.5421	1.3591	1.5137	1.5225	1.4111	1.3315	1.2742	1.8655	1.8538	2.0458	1.3682	1.5673	1.4448	1.3665	1.8256	1.6652	1.7442	1.7333	1.7908	1.9629	1.5419	1.3626	1.3897	1.5223
CLUG_05246	1.1922	1.2925	1.2452	1.2568	1.2873	1.0757	1.1426	1.3791	1.2230	1.3405	1.2091	1.3752	1.2700	1.2027	1.2444	1.2257	1.3572	1.2320	1.2898	1.1454	1.3396	1.2969	1.3197	1.3322	1.4020	1.5241	1.4549	1.3784	1.5962	1.3533	1.2930	1.4764	1.3322	1.4229	1.3691	1.2939	1.2644	1.1209	1.7509	1.7087	1.9249	1.3292	1.4780	1.3554	1.3090	1.6301	1.5723	1.7181	1.5924	1.7280	1.8645	1.4585	1.2617	1.3091	1.3757
CLUG_05247	1.1348	1.1177	1.1576	1.1380	1.1429	1.1018	1.0826	1.2168	1.2168	1.2169	1.0968	1.1958	1.1775	1.1326	1.1449	1.0256	1.1286	1.0694	1.2277	1.0526	1.1755	1.2222	1.1606	1.2907	1.3229	1.4210	1.3516	1.3078	1.4969	1.2761	1.2498	1.3678	1.2107	1.3530	1.3420	1.2780	1.5076	1.2997	1.7153	1.6162	1.8515	1.2666	1.4412	1.2894	1.2458	1.6191	1.4577	1.5851	1.5624	1.6125	1.7353	1.4068	1.2187	1.2661	1.3936
CLUG_05248	0.9570	1.0012	1.0175	1.0300	1.0094	0.9843	0.9954	1.0965	1.0121	1.0936	0.9853	1.0343	0.9743	0.9961	0.9824	0.9255	1.1405	1.0206	1.1170	0.9812	1.0607	1.0617	1.0849	1.1571	1.3250	1.4339	1.3539	1.3058	1.5537	1.3227	1.2510	1.3221	1.2008	1.3900	1.2788	1.2828	1.7027	1.4920	1.7126	1.6910	1.8996	1.2656	1.4137	1.3323	1.2451	1.6061	1.6173	1.5936	1.6139	1.6919	1.7628	1.4446	1.1996	1.1950	1.4098
CLUG_05249	0.9252	0.9121	0.9186	0.8542	0.8800	0.9560	0.8571	0.9679	0.9695	1.0633	0.8920	0.9688	0.8978	0.8507	0.8408	0.7571	1.0679	0.9741	1.0937	0.9742	0.9884	1.0502	0.9522	1.0732	1.2627	1.4287	1.3539	1.3001	1.5859	1.3269	1.2746	1.2995	1.2115	1.3601	1.4081	1.3202	1.9145	1.7595	1.7468	1.7642	1.9804	1.3534	1.4184	1.3043	1.2846	1.6485	1.6720	1.6882	1.6520	1.6934	1.7915	1.5427	1.2710	1.2846	1.4522
CLUG_05250	0.9067	0.8321	0.9462	0.8217	0.8621	0.9751	0.9163	0.8902	1.0255	0.9950	0.9300	1.0396	0.8654	0.7638	0.8186	0.6445	1.1544	0.9104	1.0291	0.9175	0.9518	1.0140	0.9252	1.1502	1.2151	1.4409	1.4109	1.3254	1.6164	1.3265	1.3095	1.3244	1.2105	1.4090	1.5041	1.3357	2.0630	1.8683	1.7978	1.7664	1.8871	1.3653	1.4603	1.2396	1.3496	1.6675	1.7187	1.7105	1.6635	1.7389	1.7831	1.5720	1.2081	1.2865	1.4974
CLUG_05251	0.9007	0.8850	0.8509	0.8485	0.8716	0.9422	0.7981	0.9383	0.8704	1.0461	0.8564	0.9060	0.8882	0.8575	0.7990	0.7078	0.9901	0.9776	1.0649	0.9473	0.9428	1.0162	0.9237	0.9746	1.2497	1.3914	1.3016	1.2734	1.5536	1.2824	1.2340	1.2537	1.1823	1.3107	1.3697	1.3036	1.8413	1.7264	1.7337	1.7567	2.0155	1.3434	1.3917	1.2942	1.2528	1.6103	1.6311	1.6761	1.6659	1.6836	1.8113	1.5286	1.2604	1.2592	1.4004
CLUG_05252	0.5609	0.6317	0.5403	0.5693	0.5489	0.5903	0.6136	0.6459	0.6409	0.6957	0.5746	0.6159	0.5855	0.5695	0.5611	0.5102	0.6814	0.6253	0.7061	0.5940	0.6181	0.6887	0.5910	0.8198	0.7989	0.8762	0.8234	0.7863	0.9255	0.7785	0.7669	0.7970	0.6957	0.8151	0.7998	0.8062	1.0027	0.8921	1.0136	1.0837	1.2306	0.7852	0.8697	0.8180	0.7095	0.9437	1.0616	1.0786	1.0604	1.0060	1.0988	0.9654	0.7277	0.7684	0.8776
CLUG_05253	0.2191	0.2488	0.2418	0.2531	0.2313	0.2608	0.2436	0.2930	0.2879	0.2588	0.2511	0.2496	0.2664	0.2463	0.2464	0.1949	0.2974	0.2226	0.2504	0.2059	0.2122	0.2515	0.2588	0.5232	0.3059	0.3420	0.3140	0.3105	0.3471	0.2894	0.2796	0.3275	0.2667	0.3013	0.3053	0.3129	0.3304	0.2791	0.5109	0.5288	0.5944	0.3673	0.4273	0.3844	0.2665	0.3306	0.5500	0.5344	0.5354	0.5077	0.5692	0.4822	0.2605	0.2749	0.4240
CLUG_05254	1.2485	1.1837	1.1374	1.1848	1.2323	1.0993	1.0374	1.2309	1.1966	1.2262	1.1355	1.2615	1.2066	1.1088	1.1319	1.1566	1.2282	1.1379	1.3689	1.1231	1.2481	1.2014	1.2437	1.2907	1.3897	1.4743	1.4513	1.4136	1.6237	1.3381	1.2835	1.4599	1.2827	1.3670	1.3910	1.3091	1.4320	1.2318	1.6782	1.6922	1.8827	1.3223	1.3977	1.3033	1.3277	1.6352	1.5931	1.5961	1.5476	1.6456	1.7344	1.4408	1.3396	1.1829	1.4186
