GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_05255	1.2079	1.1794	1.3248	1.1239	1.2989	1.2113	1.0379	1.5014	1.3263	1.3519	1.1427	1.3864	1.2815	1.2177	1.1194	1.4063	1.2547	1.0679	1.3001	1.1457	1.2003	1.2472	1.2812	1.4164	1.4427	1.6093	1.4267	1.5671	1.6332	1.3790	1.3491	1.4707	1.4247	1.4128	1.4120	1.3980	1.5683	1.4806	1.8532	1.7579	2.1482	1.4177	1.5787	1.4690	1.3052	1.6776	1.6647	1.8200	1.8144	1.7286	2.0600	1.6880	1.3010	1.3180	1.5948
CLUG_05256	1.0886	1.1804	1.0673	1.1889	1.2284	1.1989	0.9885	1.0802	1.1677	1.1849	1.0332	1.2863	1.2278	1.1826	1.1430	1.1426	1.2013	1.0771	1.2065	1.0428	1.2199	1.2084	1.1246	1.2744	1.4142	1.4795	1.4160	1.3115	1.5895	1.3183	1.2321	1.3442	1.2036	1.3754	1.2790	1.2457	1.5142	1.3742	1.6229	1.6854	1.8225	1.2753	1.4619	1.3295	1.1769	1.6027	1.5643	1.6221	1.5011	1.5700	1.7085	1.4167	1.1613	1.2349	1.3964
CLUG_05257	1.0534	1.1576	1.0383	1.1896	1.2044	1.1568	0.9585	1.0610	1.1547	1.1819	1.0017	1.2462	1.2465	1.1681	1.1258	1.1019	1.1861	1.0633	1.1762	1.0089	1.1847	1.1702	1.0918	1.2335	1.4369	1.4831	1.4028	1.3103	1.5961	1.3133	1.1976	1.3414	1.2135	1.3780	1.2648	1.2587	1.5375	1.3608	1.6147	1.7020	1.8392	1.2719	1.4691	1.3229	1.1520	1.5880	1.5590	1.6402	1.5214	1.5869	1.6934	1.4087	1.1583	1.2041	1.4043
CLUG_05258	1.3041	1.2477	1.2150	1.3664	1.1250	1.1443	1.1900	1.3164	1.1815	1.3163	1.3052	1.4398	1.3012	1.3334	1.2283	1.3202	1.5490	1.1836	1.2517	1.2564	1.2449	1.2790	1.2914	1.4831	1.4240	1.4731	1.4581	1.3769	1.6621	1.4291	1.3618	1.4205	1.2679	1.5179	1.4284	1.4456	1.2961	1.1566	1.7260	1.7040	2.0503	1.3649	1.5709	1.4029	1.3537	1.7225	1.6501	1.7165	1.7059	1.7871	1.7730	1.5443	1.2510	1.3366	1.4594
CLUG_05259	1.1225	1.1794	1.1661	1.1450	1.1649	1.1373	1.1276	1.2391	1.2278	1.2585	1.1193	1.2277	1.1476	1.1674	1.1789	1.1539	1.2687	1.1322	1.3073	1.0956	1.2079	1.2248	1.2266	1.2552	1.3807	1.5024	1.4817	1.3312	1.6072	1.3883	1.3180	1.3891	1.2706	1.4079	1.3555	1.2971	1.6209	1.4404	1.6785	1.6979	1.9814	1.3040	1.4783	1.3128	1.2988	1.6400	1.5715	1.6242	1.5681	1.6196	1.7683	1.4916	1.2850	1.2926	1.4411
CLUG_05260	1.2383	1.2986	1.1790	1.2456	1.2351	1.1812	1.1007	1.3146	1.2932	1.3152	1.2335	1.3338	1.2899	1.2550	1.2777	1.3179	1.3384	1.2428	1.3533	1.2089	1.2170	1.3010	1.2860	1.3946	1.3782	1.5085	1.4401	1.3793	1.5553	1.4092	1.3974	1.4130	1.3150	1.4270	1.4014	1.3427	1.2670	1.1655	1.6856	1.6934	1.9059	1.3317	1.4612	1.3595	1.2748	1.6329	1.5343	1.6726	1.6142	1.6317	1.7189	1.4313	1.2960	1.2658	1.4133
CLUG_05261	1.1690	1.1305	1.2062	1.1987	1.3167	1.0597	1.0392	1.1320	1.1873	1.2179	1.2513	1.2604	1.1179	1.1504	1.2308	1.2219	1.1650	1.1149	1.2897	1.1249	1.1845	1.1449	1.2988	1.4167	1.3238	1.4920	1.3165	1.2514	1.4613	1.3714	1.2824	1.2636	1.2263	1.4319	1.2967	1.2572	1.2394	1.0970	1.6226	1.5639	1.8157	1.2980	1.4487	1.3176	1.2270	1.5460	1.4677	1.5483	1.5380	1.6212	1.6777	1.3455	1.1611	1.1519	1.3873
CLUG_05262	1.4268	1.2874	1.2427	1.3736	1.2311	1.1015	1.3260	1.2689	1.2030	1.3530	1.4482	1.2767	1.3240	1.2874	1.3105	1.4339	1.3797	1.2422	1.2975	1.2135	1.2468	1.3397	1.4205	1.4770	1.5608	1.4370	1.5558	1.4924	1.6425	1.4419	1.4540	1.4617	1.2865	1.4919	1.4738	1.3754	1.5980	1.5403	1.7404	1.8118	1.9244	1.3347	1.4981	1.3809	1.4198	1.7998	1.6606	1.7509	1.7681	1.7817	1.8472	1.4888	1.3621	1.4745	1.5456
CLUG_05263	1.0939	1.2108	1.0208	1.0747	1.1293	1.0296	1.0684	1.2469	1.0805	1.3099	1.1629	1.0779	1.1032	1.0350	1.1464	1.0298	1.0690	1.1083	1.2698	1.1235	1.0653	1.1838	1.1558	1.3218	1.2875	1.2893	1.2817	1.2543	1.3776	1.2597	1.2172	1.2791	1.1521	1.3580	1.2245	1.2200	1.3279	1.1354	1.5446	1.5607	1.6887	1.2020	1.3537	1.2533	1.1316	1.5445	1.4044	1.6274	1.5323	1.4717	1.6185	1.4364	1.2118	1.0731	1.3123
CLUG_05264	1.0986	1.2451	1.0165	1.0745	1.1284	1.0498	1.0781	1.2589	1.1104	1.3276	1.1858	1.1022	1.1121	1.0263	1.1676	1.0827	1.0937	1.1305	1.2882	1.1390	1.0657	1.1921	1.1494	1.3044	1.2879	1.3140	1.2723	1.2650	1.3978	1.2768	1.2357	1.2836	1.1815	1.3636	1.2446	1.2459	1.3590	1.1754	1.5453	1.5546	1.6681	1.2155	1.3652	1.2673	1.1391	1.5613	1.3964	1.6561	1.5399	1.4652	1.6527	1.4662	1.2210	1.0995	1.3273
CLUG_05265	1.2022	1.0952	1.1494	1.2467	1.1312	1.0880	1.1254	1.1257	1.1977	1.3483	1.2622	1.1993	1.1981	1.1503	1.2058	1.2063	1.2818	1.0147	1.2739	1.0941	1.2545	1.2078	1.1717	1.3853	1.3848	1.4492	1.3315	1.3235	1.4963	1.2875	1.2646	1.3151	1.2515	1.3298	1.2916	1.2037	1.3227	1.1826	1.6869	1.6685	1.7738	1.2840	1.5825	1.3826	1.2772	1.5722	1.5677	1.6417	1.7091	1.6746	1.8943	1.5006	1.1653	1.2113	1.4772
CLUG_05266	1.1653	1.0305	1.1405	1.2593	1.1644	1.0750	1.1334	1.1512	1.2858	1.3938	1.2985	1.1296	1.2390	1.1203	1.2079	1.1277	1.2476	0.9752	1.2818	1.0765	1.2213	1.2237	1.2112	1.4280	1.3841	1.4821	1.3435	1.3202	1.4867	1.3006	1.2981	1.2903	1.2306	1.3126	1.2959	1.2438	1.3245	1.2211	1.6424	1.5989	1.7518	1.2562	1.5989	1.3798	1.2666	1.6155	1.5179	1.6090	1.6502	1.6299	1.9317	1.4541	1.1947	1.2398	1.4978
CLUG_05267	1.0170	1.1218	1.0994	1.1869	1.0873	0.9745	0.9625	1.1682	1.1056	1.1247	1.0306	1.1194	1.1300	1.0719	1.0373	1.0445	1.1782	1.0820	1.1598	1.0175	1.0113	1.1300	1.0708	1.2052	1.2671	1.2740	1.2664	1.2374	1.3876	1.2075	1.1476	1.2270	1.1642	1.2542	1.2438	1.1527	1.2256	1.1632	1.4926	1.5526	1.7115	1.1440	1.2929	1.1933	1.1328	1.4759	1.4030	1.4847	1.4471	1.4274	1.5778	1.2617	1.0984	1.0961	1.2915
CLUG_05268	1.0288	1.1032	0.9536	1.0622	1.0695	1.1448	1.0425	1.1566	1.0953	1.1960	1.0839	1.1875	1.0348	1.1012	1.1033	1.0701	1.1949	1.1151	1.0926	1.0356	1.1677	1.0379	1.0838	1.1302	1.3114	1.2870	1.2418	1.2637	1.3889	1.2332	1.2157	1.2010	1.1609	1.1991	1.1742	1.1322	1.0812	1.0674	1.4866	1.4383	1.6191	1.2389	1.3167	1.2530	1.0647	1.4474	1.3083	1.4811	1.4438	1.4132	1.5200	1.2711	1.0918	1.0858	1.2539
CLUG_05269	1.1539	1.2428	1.1620	1.1879	1.1535	1.0480	1.2036	1.2534	1.2624	1.2966	1.2104	1.2995	1.2185	1.2041	1.2098	1.2400	1.2933	1.1026	1.3627	1.1486	1.2226	1.2417	1.1990	1.3548	1.3596	1.5185	1.4226	1.4000	1.5294	1.2803	1.3280	1.3554	1.2752	1.4299	1.3371	1.2749	1.3300	1.2105	1.5917	1.6019	1.8930	1.2984	1.4908	1.3303	1.2499	1.5914	1.5900	1.6284	1.6540	1.6269	1.7386	1.4220	1.2819	1.2743	1.4078
CLUG_05270	1.1685	1.2472	1.1702	1.1503	1.2015	1.1218	1.0698	1.2845	1.2568	1.2519	1.2139	1.2870	1.2560	1.2276	1.2238	1.2537	1.2933	1.1373	1.3352	1.1482	1.1750	1.2956	1.2289	1.3393	1.3719	1.4150	1.3942	1.3148	1.4831	1.3627	1.3154	1.2954	1.2749	1.3599	1.3206	1.2674	1.3006	1.1671	1.5643	1.5799	1.7952	1.2967	1.4565	1.3052	1.2224	1.5811	1.5083	1.5387	1.5806	1.5631	1.6356	1.4185	1.2424	1.2298	1.3499
CLUG_05271	1.1348	1.1975	1.1532	1.2623	1.0917	1.0682	1.1025	1.1740	1.1907	1.2445	1.1735	1.1743	1.2018	1.1936	1.1968	1.2979	1.2476	1.1825	1.2778	1.1579	1.1696	1.1820	1.1803	1.2895	1.4299	1.4474	1.4331	1.3228	1.5190	1.3480	1.3567	1.3715	1.3088	1.4212	1.3237	1.3270	1.3111	1.2293	1.5885	1.6757	1.7756	1.2658	1.4379	1.3715	1.2534	1.5850	1.4635	1.5803	1.5736	1.5760	1.6799	1.4156	1.3011	1.2775	1.4120
CLUG_05272	1.2106	1.1860	1.1307	1.1899	1.1967	1.1130	1.0764	1.2377	1.2883	1.3313	1.1693	1.3117	1.2432	1.1863	1.2239	1.2211	1.2265	1.1764	1.3350	1.1462	1.1307	1.2247	1.2231	1.3305	1.3708	1.4220	1.3404	1.3039	1.4936	1.3417	1.3021	1.3313	1.2792	1.3647	1.3131	1.2903	1.2383	1.1164	1.5676	1.5648	1.7616	1.2961	1.4362	1.3350	1.2484	1.5739	1.4871	1.5687	1.5655	1.5714	1.6740	1.3955	1.2601	1.2334	1.3641
CLUG_05273	1.2340	1.1102	1.1965	1.1827	1.1200	1.0031	1.0683	1.1277	1.2273	1.2454	1.1524	1.2213	1.1421	1.1458	1.1941	1.1082	1.1992	1.1976	1.2318	1.1048	1.1150	1.1432	1.2203	1.4378	1.4343	1.5511	1.3533	1.3187	1.5513	1.4542	1.3251	1.2845	1.3323	1.4333	1.2617	1.2881	1.7087	1.4969	1.7076	1.6752	1.8011	1.2709	1.4836	1.3808	1.3271	1.5928	1.6960	1.5103	1.6849	1.5771	1.7604	1.5056	1.2937	1.2402	1.3632
CLUG_05274	0.9815	1.0508	0.9705	1.0268	0.9451	1.0553	0.8802	1.0182	1.1801	1.2580	1.0855	1.2193	1.1288	1.0593	1.0908	0.9374	1.0704	1.0332	1.1743	0.9975	1.1231	1.1061	0.9855	1.1091	1.4010	1.4333	1.3866	1.3400	1.4020	1.3725	1.3049	1.2986	1.2292	1.3781	1.3145	1.2742	1.6926	1.5896	1.4469	1.5707	1.7184	1.2122	1.3558	1.2738	1.2823	1.5426	1.5024	1.5386	1.5128	1.5124	1.5685	1.3483	1.3279	1.2138	1.2855
CLUG_05275	0.9970	1.0283	0.9792	0.9999	1.0234	0.9513	0.9348	1.0643	1.0806	1.1649	1.0605	1.0802	1.0807	1.0645	1.0365	0.9671	1.0946	1.0627	1.1045	0.9912	0.9980	1.0169	1.0180	1.1585	1.1657	1.2101	1.2925	1.1767	1.2945	1.2192	1.1279	1.1355	1.1479	1.2290	1.1911	1.1184	1.2423	1.1329	1.4447	1.4604	1.5474	1.1586	1.2726	1.2458	1.1133	1.4055	1.3116	1.3946	1.3532	1.3695	1.4088	1.2366	1.0870	1.1879	1.2111
CLUG_05276	0.9606	0.9848	0.9025	1.0032	0.9357	0.8616	0.8884	0.9177	0.9782	0.9818	0.9318	1.0425	0.9894	0.9634	0.9018	0.9328	1.0114	0.9261	0.9869	0.9223	0.9221	0.9790	0.9437	1.0595	1.0956	1.1886	1.2333	1.1815	1.2559	1.1345	1.0649	1.1474	1.1415	1.1521	1.1916	1.1144	1.1915	1.0387	1.3067	1.3985	1.5292	1.0820	1.3015	1.1786	1.1189	1.3237	1.2708	1.3706	1.3165	1.3854	1.3728	1.2024	1.0643	1.0828	1.1571
CLUG_05277	1.1272	1.1170	1.0809	1.2024	1.0422	0.9697	0.9668	1.2249	1.2239	1.2177	1.1773	1.1703	1.1538	1.1668	1.0983	1.1526	1.1882	1.0967	1.3631	1.0910	1.0335	1.1215	1.2511	1.2323	1.3079	1.4780	1.3005	1.2413	1.3793	1.3358	1.1688	1.2365	1.2860	1.4143	1.2157	1.1989	1.3030	1.2488	1.5504	1.4567	1.7328	1.1828	1.3715	1.3524	1.1339	1.4987	1.4520	1.4652	1.4207	1.5216	1.6062	1.3520	1.2353	1.2690	1.3501
CLUG_05278	1.0634	1.0081	0.9681	1.0448	1.0644	0.9231	0.9939	1.0752	1.0820	1.1120	1.0592	1.0996	1.0790	1.0281	1.0530	1.0754	1.1481	1.1124	1.1128	0.9928	0.9879	1.0664	1.0437	1.1897	1.2195	1.2299	1.2212	1.1960	1.2669	1.1728	1.1170	1.1329	1.1321	1.1737	1.1453	1.1068	1.0715	1.0276	1.3708	1.4395	1.6098	1.1643	1.2852	1.2147	1.0979	1.4294	1.3420	1.4051	1.4013	1.3732	1.4679	1.2011	1.1192	1.1084	1.2255
CLUG_05279	0.8187	0.7744	0.7260	0.8189	0.8908	0.8334	0.7092	0.9686	0.9945	0.8775	0.8534	0.9444	0.7887	0.8356	0.8100	0.9791	0.9781	0.9066	0.9761	0.7862	0.9203	0.8127	0.9062	1.1792	0.9341	0.9373	0.9843	0.8722	0.9817	0.9001	0.8156	0.8896	0.8970	0.9696	1.0185	0.8699	0.8538	0.7726	1.0585	1.0020	1.1180	0.8134	1.0684	0.8956	0.8360	1.1426	0.9778	1.0303	0.9744	0.9866	1.1223	0.8578	0.8655	0.7646	0.9785
