GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_03210	133.38	155.09	137.48	164.66	142.69	150.31	126.76	107.69	138.91	238.27	136.11	125.25	157.52	310.58	468.87	117.37	113.46	112.70	132.04	564.93	206.26	186.40	140.14	201.95	411.53	461.60	478.91	481.94	449.19	414.75	377.59	415.51	367.06	353.37	457.58	378.94	308.84	346.72	391.47	424.83	560.09	408.10	491.43	401.15	411.70	568.50	359.66	457.77	517.37	424.05	462.53	348.36	386.60	363.53	367.29
CLUG_03211	105.65	129.64	105.69	124.99	122.50	117.87	101.33	87.15	118.15	214.21	119.29	100.11	123.70	232.49	350.30	87.87	89.14	105.49	95.22	450.66	161.08	140.32	116.95	173.60	362.55	405.23	413.76	405.05	403.73	363.76	321.69	355.32	343.42	333.85	385.64	374.06	343.28	363.94	355.81	396.98	503.81	375.84	449.62	378.21	383.82	507.87	365.98	414.80	478.69	390.80	423.51	332.24	350.65	329.22	355.53
CLUG_03212	106.46	131.60	102.45	124.71	118.84	119.29	104.44	87.90	115.65	215.58	118.99	100.71	115.42	230.93	356.07	89.58	91.50	110.71	86.29	451.24	153.87	133.46	117.41	182.32	379.10	403.73	427.83	410.15	435.57	372.75	324.48	365.64	345.33	333.96	382.58	387.67	369.35	372.45	370.64	407.40	506.13	385.11	461.79	376.33	393.63	518.12	374.71	416.38	508.52	400.92	438.00	339.44	386.00	329.70	360.51
CLUG_03213	148.01	184.24	150.11	180.81	185.15	149.51	135.83	120.78	162.44	273.89	168.90	132.52	171.34	374.54	542.97	152.17	120.74	141.06	135.53	615.79	233.78	201.69	158.35	260.38	434.11	502.18	521.10	487.14	475.30	438.64	388.02	445.24	407.81	371.08	448.03	444.50	301.51	297.66	0.00	0.43	0.00	0.00	0.24	0.00	449.60	575.49	0.00	0.43	0.43	2.86	0.00	0.00	410.74	387.43	0.41
CLUG_03214	126.31	151.11	114.60	159.63	175.12	142.16	127.18	101.77	149.59	239.32	158.11	121.61	162.00	315.55	466.32	121.14	112.63	136.51	116.72	517.06	198.06	160.01	140.76	204.28	402.81	460.15	467.74	448.41	452.24	387.68	361.52	417.66	384.41	356.39	394.07	376.52	295.88	299.67	0.00	0.00	0.00	0.00	0.82	0.00	386.10	558.73	0.00	0.00	0.01	1.18	0.00	0.00	376.61	375.12	0.00
CLUG_03215	116.37	138.27	107.46	144.42	150.30	120.66	108.63	90.97	131.82	211.30	145.26	106.50	132.92	274.60	407.94	105.32	100.86	114.89	98.63	447.93	178.68	143.83	127.15	217.77	356.98	400.38	406.16	384.11	385.56	346.78	312.67	364.19	323.21	300.44	349.07	332.01	253.45	253.28	0.00	0.00	0.00	0.00	0.40	0.00	344.28	474.27	0.00	0.00	0.50	0.76	0.00	0.00	321.53	327.09	0.14
CLUG_03216	6.37	9.34	6.33	8.01	6.97	5.97	3.90	3.89	4.87	11.70	6.88	4.57	7.21	15.53	20.87	7.15	4.46	5.95	5.77	19.38	8.21	8.56	5.78	229.04	16.00	18.69	17.56	15.93	16.01	17.43	15.62	16.63	17.21	14.20	18.36	14.99	11.30	12.14	0.11	0.15	0.20	0.31	0.10	0.15	17.39	22.50	0.05	0.10	0.17	0.06	0.00	0.00	15.90	12.81	0.15
CLUG_03217	119.50	148.70	119.14	151.26	153.13	130.82	121.63	109.96	133.69	238.08	147.77	114.86	152.92	295.85	439.63	113.38	115.20	122.35	113.86	517.72	193.38	179.07	142.23	198.94	421.25	487.00	487.29	463.15	453.07	387.07	371.60	435.86	391.18	368.58	412.51	416.21	404.09	409.14	401.03	455.63	569.04	464.64	534.59	427.18	437.77	540.37	414.80	470.86	532.82	446.74	495.16	380.22	396.47	391.25	379.93
CLUG_03218	61.00	78.96	63.64	84.81	69.47	71.23	53.19	54.63	58.23	100.50	70.46	58.09	69.58	163.04	235.50	60.69	54.89	66.34	62.74	250.79	97.61	82.18	74.38	253.85	226.70	248.00	246.37	239.53	248.04	213.28	189.23	214.15	225.50	195.35	229.44	228.70	138.82	143.43	426.28	467.44	590.74	491.46	584.80	475.26	224.92	285.70	448.46	502.61	560.85	480.20	546.67	411.60	201.63	211.20	408.77
CLUG_03219	132.45	154.31	124.22	156.45	152.34	141.72	118.65	106.83	135.07	262.95	152.37	137.04	156.48	296.98	474.56	120.34	107.31	128.80	127.87	525.33	207.34	182.08	127.92	233.20	417.18	456.55	458.82	440.67	438.48	387.42	359.66	421.86	398.11	353.03	395.00	393.57	299.78	314.54	403.81	452.82	545.54	452.18	528.56	438.64	422.80	555.76	406.30	465.95	499.22	439.95	505.47	394.63	360.34	382.82	388.53
CLUG_03220	127.43	149.87	115.05	157.44	149.10	134.16	114.38	103.52	136.36	234.24	138.97	121.76	145.64	290.96	433.15	121.22	106.50	115.12	110.85	505.93	175.03	167.62	134.33	199.73	410.77	455.94	460.60	420.68	441.81	380.81	336.84	393.37	381.27	346.95	389.07	405.76	341.58	355.45	383.10	445.20	559.59	445.08	513.75	423.36	415.79	525.22	397.12	461.11	507.66	418.58	501.20	380.79	360.34	372.03	371.05
CLUG_03221	128.38	151.53	117.39	151.81	152.50	129.02	124.84	113.01	134.21	228.89	137.72	123.36	160.94	285.70	415.41	112.54	111.85	115.51	115.57	523.54	200.43	164.27	132.43	193.07	414.68	472.92	477.92	442.20	449.79	381.35	353.43	419.99	381.59	360.48	400.49	413.07	365.83	384.30	377.73	444.32	564.55	443.24	513.69	416.51	409.27	533.02	430.46	463.64	490.17	440.36	474.92	365.68	380.14	384.49	366.31
CLUG_03222	131.54	147.11	113.53	153.02	140.36	128.12	114.16	106.64	136.13	236.84	146.27	117.49	149.17	294.46	428.13	107.62	112.52	127.11	109.47	534.21	181.14	172.29	134.19	190.81	383.33	454.19	449.09	435.85	433.33	363.49	354.60	394.40	376.11	353.12	406.30	400.26	313.18	327.48	396.97	430.64	529.79	439.02	494.64	407.23	398.75	515.43	397.89	449.98	490.83	421.21	479.32	369.84	367.02	356.76	368.74
CLUG_03223	138.92	160.66	124.96	167.45	159.21	140.20	121.75	112.31	148.14	260.59	150.94	133.50	159.96	306.03	461.69	122.86	121.01	128.23	123.23	564.34	204.69	178.42	133.11	201.27	408.99	462.85	472.82	467.54	444.96	401.25	357.38	410.50	387.42	365.88	429.99	406.78	303.58	325.09	385.40	434.71	551.58	450.24	522.41	423.28	408.95	526.52	394.67	468.19	487.78	442.13	489.55	358.51	393.82	379.31	381.96
CLUG_03224	136.97	147.42	113.36	155.28	154.50	120.83	124.17	112.30	145.57	242.76	166.36	116.54	138.04	295.07	381.45	115.42	125.98	135.54	113.48	559.72	197.53	171.82	133.35	201.24	433.96	504.09	484.20	477.74	457.03	367.14	344.17	391.64	388.10	367.76	365.75	393.50	335.81	356.26	376.74	440.53	518.86	407.50	501.33	408.74	418.58	533.50	439.07	461.71	516.36	438.80	475.48	405.61	395.70	395.56	400.75
CLUG_03225	135.33	160.35	122.52	147.51	144.96	119.52	113.69	97.49	126.02	211.81	135.06	111.53	141.61	284.71	433.04	118.26	110.29	125.93	126.58	455.53	188.45	158.87	141.39	183.29	388.77	441.90	437.17	445.75	475.31	381.48	339.94	398.15	381.09	370.71	372.78	412.36	292.83	324.40	413.24	435.03	533.12	425.63	510.58	435.80	412.04	534.03	398.23	485.06	525.70	432.52	467.34	363.57	368.39	356.02	413.28
CLUG_03226	122.49	145.90	119.21	151.08	137.84	123.40	114.28	97.30	124.97	234.00	141.69	121.18	151.40	273.58	392.45	115.85	106.63	108.99	107.36	507.21	194.76	161.25	139.96	192.34	392.30	480.22	473.05	463.98	443.39	372.97	342.66	399.24	386.46	367.11	408.53	415.28	371.23	384.05	346.56	402.62	495.81	393.00	478.79	396.82	422.13	523.24	361.87	417.71	440.97	389.06	430.30	328.07	379.06	373.84	330.59
CLUG_03227	141.27	169.44	126.99	176.04	157.67	146.68	116.05	115.00	156.48	257.69	157.58	135.65	161.10	324.41	486.79	126.54	128.92	131.26	124.53	568.75	203.44	179.24	155.48	211.33	431.81	489.88	475.54	454.26	436.89	377.18	359.36	404.14	391.79	383.83	412.71	434.32	288.62	315.15	258.61	297.48	377.77	295.73	361.69	298.45	415.33	512.89	271.06	324.78	353.23	290.11	340.27	253.06	392.41	389.69	260.88
CLUG_03228	143.12	173.23	129.65	166.41	164.31	134.50	115.68	118.70	137.58	261.64	161.31	148.84	160.37	321.59	467.75	133.63	124.92	128.42	123.13	563.99	196.59	187.01	150.06	216.53	409.55	489.11	480.09	471.93	458.40	398.32	365.92	437.03	380.10	388.81	418.47	396.89	278.16	311.53	365.79	416.39	525.55	439.60	522.02	434.80	392.71	546.76	398.91	450.27	496.92	434.48	474.33	357.71	382.38	378.57	378.23
CLUG_03229	150.89	161.17	130.93	185.29	177.21	145.09	125.38	120.46	163.02	274.57	165.79	137.54	167.94	322.52	499.94	138.66	126.36	133.72	128.32	586.02	212.13	192.61	167.18	225.99	425.01	499.10	482.62	478.15	457.54	404.15	359.44	430.70	400.73	397.84	414.13	423.53	266.31	322.48	379.31	434.72	532.66	444.83	516.49	426.89	418.02	536.03	413.01	444.09	502.10	418.82	471.34	372.54	397.15	394.38	360.17
CLUG_03230	117.29	143.29	117.22	156.96	153.71	119.60	107.53	95.04	126.94	213.76	143.42	118.27	139.38	283.82	408.02	107.54	99.21	107.31	109.34	478.80	160.14	161.74	144.22	181.44	363.66	412.29	414.18	412.79	384.71	344.90	308.80	381.82	346.21	321.98	391.71	381.68	289.77	309.67	350.47	383.75	469.51	373.56	456.02	403.09	380.93	470.28	365.77	412.24	458.40	363.50	423.36	326.14	344.04	344.44	354.57
CLUG_03231	113.53	141.31	114.05	148.31	154.86	118.60	103.30	92.17	125.53	206.61	142.32	118.27	135.35	275.70	397.01	105.52	99.26	104.19	108.81	465.72	159.42	155.61	142.49	176.07	368.61	408.85	412.55	409.49	385.54	347.42	306.44	386.14	349.57	320.70	386.57	383.47	297.50	315.00	354.10	387.23	471.76	371.64	459.12	400.10	378.37	465.63	362.16	417.52	454.59	362.20	422.49	328.23	343.55	344.53	347.25
CLUG_03232	120.84	164.20	119.31	149.30	131.32	113.26	115.88	102.26	127.67	226.33	132.37	123.30	148.84	280.68	406.36	101.29	117.05	117.73	98.67	510.95	163.97	160.52	131.79	175.94	378.95	418.89	445.31	442.25	403.41	356.64	302.02	391.50	369.84	333.46	389.97	381.59	244.10	251.08	342.75	395.30	491.63	398.14	490.17	414.81	376.34	485.93	376.74	407.35	469.31	363.24	418.39	325.45	358.70	349.44	333.57
CLUG_03233	132.62	158.40	114.68	158.42	150.18	133.83	107.83	111.68	135.68	243.61	143.44	120.84	146.26	309.29	429.76	123.15	113.06	123.55	116.48	522.88	183.35	166.20	138.07	194.98	395.76	470.76	452.76	446.51	414.09	355.79	331.03	403.42	370.52	352.07	389.78	386.86	282.02	307.18	365.57	398.36	494.68	419.70	488.67	413.88	408.39	507.31	379.21	433.35	455.30	393.90	431.60	343.88	379.11	361.81	345.44
CLUG_03234	129.59	140.80	112.29	148.47	139.33	131.32	115.27	107.26	138.77	230.53	135.98	133.22	152.30	282.25	422.74	104.09	105.77	112.96	109.28	515.19	179.61	167.17	132.16	170.05	400.00	458.26	452.82	453.45	428.29	372.53	338.03	395.86	369.62	371.49	380.87	384.45	308.30	340.42	361.42	405.65	503.32	428.44	484.48	412.32	389.78	505.89	385.74	427.72	465.31	408.48	441.55	354.33	359.55	358.10	363.71
CLUG_03235	114.09	137.42	109.56	138.31	133.40	132.75	97.05	82.83	113.84	234.57	130.11	114.20	123.16	258.12	407.58	98.47	90.12	113.64	99.04	467.64	152.65	165.86	120.14	189.42	407.67	447.79	455.80	461.03	426.04	362.90	323.49	401.69	373.73	325.39	363.55	383.53	280.53	346.12	313.44	374.04	481.73	372.88	461.12	367.80	402.55	501.57	351.66	386.40	435.34	352.59	413.25	303.52	368.89	359.42	303.88
CLUG_03236	122.73	149.11	131.25	152.83	140.50	115.16	112.99	106.26	143.25	236.12	144.47	124.97	148.85	306.85	457.78	119.10	110.03	126.10	117.27	509.47	183.93	167.08	143.99	191.00	375.43	475.44	438.43	412.14	410.89	367.86	310.09	389.14	367.71	368.02	373.25	394.83	327.83	362.68	350.36	402.45	477.02	399.97	503.25	406.43	398.62	488.33	357.00	418.20	470.38	376.68	436.97	351.60	383.09	366.16	357.02
CLUG_03237	130.39	177.12	144.50	142.92	152.40	124.89	104.70	110.64	163.05	249.96	155.59	136.76	148.38	318.55	492.74	137.56	122.91	128.52	114.00	547.29	189.62	166.92	154.52	185.51	397.26	474.85	415.19	417.12	387.27	366.67	326.52	388.38	346.24	352.39	387.27	386.84	305.94	318.66	340.36	388.39	489.08	410.52	487.54	420.75	390.70	493.70	352.85	435.23	452.01	384.09	444.24	339.04	386.48	362.88	365.63
CLUG_03238	125.74	142.17	110.95	138.87	136.65	118.85	100.95	104.21	124.39	225.85	138.34	116.83	147.41	275.66	404.74	109.48	90.03	105.40	107.11	492.16	166.99	156.22	124.38	168.17	354.61	410.22	431.52	401.96	382.71	337.09	299.31	361.90	342.30	310.70	367.80	356.08	258.67	281.24	317.17	363.77	451.92	384.74	473.35	398.62	377.47	474.94	332.44	415.89	426.76	358.00	409.17	306.02	322.99	332.90	327.96
CLUG_03239	132.34	150.71	117.54	143.12	146.62	118.20	105.29	111.15	126.87	236.12	142.38	120.36	159.19	292.02	416.87	115.29	92.66	104.67	106.49	521.56	167.65	156.10	133.14	172.63	355.30	397.83	437.66	402.25	381.39	341.35	306.43	367.76	348.98	317.88	379.75	352.80	253.82	289.87	327.51	363.88	448.83	395.74	473.92	399.83	375.36	473.15	322.56	427.67	418.98	361.98	406.04	315.98	336.92	326.30	334.49
CLUG_03240	136.87	170.36	117.46	164.31	158.41	134.45	112.60	104.14	142.54	236.93	151.19	121.82	157.08	302.15	451.51	129.32	114.05	117.11	124.22	517.78	196.68	182.67	138.15	178.26	402.62	464.29	466.77	448.53	432.85	377.56	341.37	396.98	373.94	375.12	372.30	378.10	298.36	331.36	349.38	397.01	503.67	430.21	500.80	402.70	415.37	506.98	389.81	448.99	469.63	383.55	459.88	359.98	374.42	360.96	346.42
CLUG_03241	137.13	171.29	118.70	165.27	157.92	134.46	112.87	103.78	143.40	236.98	152.80	122.40	158.23	302.83	452.34	129.38	113.20	117.26	124.40	518.08	196.52	182.95	137.85	177.92	404.51	464.19	467.05	447.62	430.69	377.30	342.67	397.11	373.73	376.28	371.80	377.40	297.93	332.20	351.68	395.46	506.21	430.02	502.08	404.29	415.31	507.33	390.75	450.60	470.98	382.25	461.50	360.29	375.84	360.19	347.78
CLUG_03242	119.98	141.95	108.22	138.61	135.20	118.64	105.77	104.74	118.55	231.71	136.70	103.88	142.33	276.95	372.41	94.53	102.71	106.13	111.12	480.14	172.68	159.65	125.17	167.36	369.10	423.09	422.17	428.74	401.84	362.40	319.14	387.01	347.22	331.60	381.43	368.98	325.94	363.68	331.32	370.95	468.38	397.90	476.91	395.15	386.19	482.03	344.50	404.45	452.29	367.21	406.50	315.40	361.59	354.63	338.44
CLUG_03243	134.68	157.01	122.33	168.60	155.47	128.10	117.69	105.89	139.69	261.96	148.93	128.86	154.54	307.92	453.26	124.52	108.52	129.00	121.86	544.79	185.30	179.06	140.00	198.59	380.27	459.28	460.99	452.45	407.18	358.71	343.24	406.67	372.76	353.67	390.08	383.02	303.07	336.58	336.37	373.67	486.96	413.21	498.56	419.68	395.90	492.52	355.61	416.57	436.90	388.47	434.29	330.30	373.63	365.17	340.11
CLUG_03244	117.63	143.21	106.92	140.19	135.70	119.60	105.05	90.88	130.23	229.62	128.95	117.32	142.14	270.09	385.84	102.67	98.38	109.47	108.39	494.18	178.41	162.02	137.64	170.42	373.01	455.77	435.41	438.05	406.22	340.49	324.21	385.61	354.05	344.19	390.57	370.98	335.60	363.97	328.76	381.53	458.11	401.12	465.26	389.61	389.69	480.36	353.30	400.75	433.06	362.65	404.15	311.29	369.12	353.88	331.43
CLUG_03245	100.53	124.40	92.23	121.11	121.62	102.30	93.34	83.53	106.83	190.77	113.34	98.97	125.89	235.24	320.15	88.59	88.89	101.03	100.28	438.78	141.30	138.36	107.30	154.41	354.34	411.31	419.88	408.75	382.70	315.98	313.32	363.51	332.72	329.90	377.62	359.39	346.12	396.50	260.83	297.42	366.37	319.46	356.95	315.27	386.52	479.94	270.17	318.23	335.46	284.81	326.62	252.12	347.68	329.01	253.37
CLUG_03246	118.28	136.93	98.18	139.89	140.37	116.02	103.91	103.02	121.35	220.73	121.72	108.42	139.27	258.62	387.51	107.07	99.57	111.38	96.15	476.68	169.23	153.45	130.42	166.23	383.58	459.43	449.72	445.42	400.58	339.74	328.52	385.87	372.25	351.36	383.56	390.63	371.42	396.07	344.70	389.75	476.26	420.06	476.59	412.70	385.89	489.63	368.30	399.90	457.29	383.71	423.16	337.25	368.17	361.17	340.14
CLUG_03247	143.40	155.39	115.90	157.45	155.01	134.65	104.79	106.20	151.66	253.78	154.33	136.20	171.41	311.25	457.80	129.70	100.77	129.91	105.94	525.25	206.01	181.66	135.49	181.00	377.51	463.01	419.52	417.16	372.52	334.52	305.83	399.28	371.45	333.49	349.34	353.37	229.95	232.24	226.51	245.32	328.49	283.41	332.69	278.01	361.74	493.89	226.76	277.66	280.01	256.96	259.91	206.21	376.17	326.72	226.33
CLUG_03248	110.86	136.96	108.09	146.39	138.69	113.13	105.48	98.35	136.08	215.38	127.80	116.64	135.20	259.78	374.63	117.67	96.79	92.84	98.69	456.42	153.82	161.74	119.39	167.98	337.78	423.59	425.19	383.33	370.76	330.06	284.99	372.89	348.67	313.07	314.90	361.42	264.27	270.78	267.10	310.65	383.37	338.86	410.15	360.10	366.30	423.35	278.01	340.94	372.70	304.71	335.31	249.27	345.81	322.38	284.49
CLUG_03249	138.97	158.11	118.12	164.32	154.49	134.58	119.33	110.06	149.75	254.50	152.18	126.92	148.51	308.54	451.28	129.51	109.55	121.82	117.77	551.92	202.23	171.82	147.34	189.56	379.36	453.88	440.76	436.55	404.35	357.40	338.01	401.59	370.69	340.36	371.21	370.19	230.31	284.63	336.59	356.85	459.06	411.79	503.67	408.37	380.16	476.28	349.75	383.49	426.81	358.74	405.24	319.31	350.37	355.08	344.44
CLUG_03250	117.65	135.04	118.64	142.97	146.71	113.95	111.58	96.04	131.49	216.38	143.80	116.52	146.11	267.43	418.44	118.53	97.97	109.71	110.25	513.90	170.89	162.96	133.73	176.37	377.93	431.81	417.20	423.28	369.40	344.32	322.07	371.83	345.36	315.97	348.93	351.57	280.26	306.75	215.70	237.87	312.67	271.66	313.26	275.36	376.22	463.73	234.66	267.17	299.03	250.49	258.95	216.23	353.85	348.16	216.66
CLUG_03251	122.38	143.36	102.54	144.87	142.07	124.66	115.97	96.73	128.40	228.39	137.49	121.36	142.32	271.67	411.73	111.63	96.64	116.23	109.12	511.80	172.31	157.46	127.32	172.25	360.20	415.62	418.36	418.29	368.09	325.97	321.41	374.14	364.68	316.83	352.69	367.95	267.48	297.91	231.94	282.29	353.86	304.96	372.48	307.25	368.46	451.65	271.72	290.33	331.23	283.98	299.21	244.13	348.52	352.13	259.66
CLUG_03252	146.56	156.94	125.37	165.55	157.06	136.13	122.68	111.48	146.50	264.61	157.78	136.61	162.83	325.33	491.96	140.98	113.02	122.62	121.74	568.25	200.89	177.88	151.61	201.36	418.58	467.01	472.69	467.31	402.55	369.12	345.74	413.14	404.65	358.35	373.44	392.63	276.13	310.97	336.74	372.09	461.99	426.38	504.59	438.28	411.91	487.83	351.24	408.11	442.31	369.04	425.29	337.56	386.49	380.35	341.67
CLUG_03253	152.88	166.11	116.66	145.30	167.67	156.82	118.12	105.01	151.08	259.06	169.20	140.18	167.88	323.32	466.66	140.63	115.65	130.18	115.75	552.52	187.69	180.45	145.77	224.12	406.35	481.22	474.89	459.07	388.35	352.43	356.11	416.36	391.04	344.82	387.42	373.16	260.60	286.53	323.74	355.60	458.14	400.29	502.06	444.35	427.53	500.15	349.19	412.50	442.54	364.55	422.16	329.23	386.14	376.88	352.22
