GENE	A10.L4C	A11.L11G	A12.L10B	A13.L3B	A14.L4E	A15.L4G	A16.L7C	A17.L1B	A18.S4H	A19.S3B	A2.U10A	A20.S1E	A21.S8A	A22.UpperP	A23.LowerP	A24.SputuP	A3.U3G	A4.U3B	A5.U10D	A6.U5C	A7.U3E	A8.U2E	A9.L3D	ATCC42720	B16.1310D	B17.1311G	B18.1312G	B19.1310A	B20.1311A	B21.1312A	B22.134E	B23.133H	B24.133F	B25.135C	B26.131A	B27.136A	B28.13UM	B29.13MM	C10.9M3	C11.9M41	C12.9U1	C13.9U2	C14.9U3	C15.9U4s	C30.13LM	C31.13MP	C4.9L1	C5.9L2	C6.9L3	C7.9L4	C8.9M1	C9.9M2	ctl1.AL1B	ctl2.AL1B	ctl3.C9L1
CLUG_03197	348.32	383.14	321.58	401.11	387.94	552.51	317.27	278.66	467.14	851.42	400.38	447.63	483.57	874.68	1343.31	421.16	392.17	311.86	413.72	1955.03	501.17	642.04	371.08	245.97	927.64	1066.42	1066.19	966.39	1010.83	896.69	831.18	990.66	885.18	782.85	1373.53	857.67	648.59	641.81	441.62	495.93	598.43	478.20	596.72	501.84	915.45	1311.20	455.09	494.21	545.83	495.90	578.18	415.15	831.15	824.77	413.09
CLUG_03198	145.02	186.77	140.82	175.60	168.89	177.11	140.10	116.80	126.01	258.65	185.16	137.18	158.22	331.98	480.03	123.78	121.31	127.87	127.33	584.28	209.96	193.37	147.08	213.27	430.12	457.09	490.13	458.56	475.16	413.04	371.85	419.00	390.81	360.55	416.42	419.00	367.36	359.59	390.88	446.58	570.10	443.60	521.90	436.39	413.83	585.47	422.83	472.63	482.97	445.62	504.46	389.38	388.64	362.28	387.92
CLUG_03199	163.54	173.43	153.00	183.38	166.55	162.70	137.56	117.38	145.87	267.63	175.33	136.30	172.09	333.08	506.20	133.20	119.40	136.72	135.94	607.73	215.82	190.46	164.43	214.16	438.29	464.19	513.18	449.52	474.50	416.15	370.08	452.61	411.47	359.49	433.57	411.11	329.66	338.63	397.24	462.00	596.94	451.67	537.24	453.41	440.14	618.50	437.39	473.35	525.89	459.05	523.18	386.35	400.23	391.97	380.94
CLUG_03200	149.72	189.94	157.14	177.69	151.87	161.95	143.64	108.17	137.94	268.56	163.44	124.49	151.45	304.60	459.78	127.08	121.23	136.36	117.98	561.23	201.77	177.54	138.49	216.01	421.60	443.06	498.56	450.45	457.20	408.79	372.49	416.00	384.92	373.94	452.53	389.60	347.11	369.10	415.05	440.19	546.02	452.85	530.10	431.94	432.67	582.25	429.37	490.56	492.93	452.96	487.33	382.63	366.05	379.01	377.55
CLUG_03201	167.56	198.76	166.20	191.03	181.73	169.80	161.32	143.89	165.53	249.74	178.90	166.78	159.16	389.00	569.38	151.42	130.75	132.51	141.51	653.89	252.17	207.52	174.13	247.21	486.05	545.82	523.28	508.19	517.67	444.46	415.55	461.03	424.74	406.84	427.61	425.67	320.67	331.29	441.38	487.99	585.32	462.59	559.54	482.61	456.51	602.43	457.42	481.81	577.82	479.65	544.83	414.54	438.59	422.55	360.09
CLUG_03202	127.14	152.85	133.55	159.34	143.82	151.21	124.38	107.23	128.09	232.45	144.37	120.91	143.98	299.32	425.12	112.26	117.97	130.35	112.21	522.58	195.38	168.36	132.07	199.04	403.04	441.28	474.82	441.45	449.01	380.63	359.78	402.50	367.73	338.09	401.51	394.52	340.49	335.72	388.60	421.70	555.84	425.98	492.40	415.75	419.95	563.46	383.62	432.73	486.57	434.54	481.16	364.51	361.46	372.73	360.40
CLUG_03203	129.12	165.08	140.43	155.36	146.97	150.27	122.78	113.36	131.85	252.90	154.61	131.29	161.85	311.26	442.14	121.00	110.67	127.61	112.09	548.89	208.16	179.70	145.28	191.19	449.55	476.71	487.74	454.48	469.38	405.25	359.53	444.89	402.00	372.18	436.82	423.04	400.74	417.45	414.96	478.55	558.40	451.11	550.03	435.51	427.53	597.51	439.58	480.51	526.41	456.96	516.12	403.68	404.41	396.72	396.99
CLUG_03204	112.09	131.75	106.55	132.46	126.39	116.46	113.63	95.29	97.50	203.71	118.68	109.40	123.95	241.39	373.19	107.77	105.85	100.90	99.96	446.37	163.85	139.93	121.47	214.77	356.43	378.50	396.51	371.33	397.78	319.07	321.19	358.77	306.87	309.73	331.80	333.74	276.15	308.41	321.48	400.45	499.86	378.02	479.30	373.00	336.24	475.61	367.16	419.84	470.21	415.42	431.54	308.71	327.78	300.26	324.63
CLUG_03205	134.76	153.07	130.16	161.78	159.08	144.45	128.88	102.76	131.35	246.44	157.38	119.08	148.19	306.81	451.12	109.15	109.60	125.13	119.31	559.80	202.93	179.72	152.02	198.42	441.87	480.19	497.37	472.06	470.27	414.75	369.94	439.92	404.59	375.87	421.91	419.01	420.42	436.85	414.20	459.60	582.11	443.51	535.98	429.77	441.13	591.43	423.91	484.19	536.78	461.85	530.79	406.48	404.70	403.19	380.18
CLUG_03206	94.39	109.81	94.21	98.45	95.60	102.64	89.97	78.64	84.80	183.81	107.08	98.21	100.82	222.71	315.94	75.98	81.20	85.77	88.68	400.71	149.00	127.38	109.73	177.02	331.29	344.29	383.57	383.54	346.55	301.72	276.63	326.91	293.83	288.09	324.71	314.61	325.27	368.41	336.59	346.18	442.69	327.27	408.39	345.91	321.00	424.61	306.33	374.27	389.04	342.97	377.52	274.60	294.31	299.06	286.45
CLUG_03207	127.87	161.27	126.28	156.84	147.71	145.01	121.18	105.58	132.54	249.03	141.30	124.46	150.07	295.25	420.41	105.82	111.35	130.57	120.21	543.29	195.04	180.71	143.35	188.58	423.04	489.18	502.10	468.21	500.25	415.31	381.01	425.73	405.96	384.64	417.65	433.82	450.94	463.18	415.81	477.36	592.09	472.75	543.54	435.50	443.82	586.38	439.83	497.17	535.53	457.39	520.87	405.56	404.65	384.49	385.08
CLUG_03208	127.88	159.55	121.80	153.67	141.58	147.96	116.03	102.46	135.66	247.77	139.15	113.82	158.07	288.72	428.40	108.37	113.95	116.84	119.17	520.19	199.90	172.43	142.84	197.19	434.12	472.52	479.42	449.45	446.40	399.87	360.67	392.91	398.55	362.97	414.00	429.30	416.71	421.46	427.33	485.11	566.39	470.13	553.16	431.78	437.95	596.30	439.74	483.66	541.34	432.01	500.08	397.15	392.82	401.46	388.81
CLUG_03209	128.91	161.77	123.14	158.47	149.53	137.64	121.97	105.39	136.49	233.17	146.60	126.91	149.23	294.84	438.92	108.60	109.85	114.90	114.17	541.18	205.16	177.10	134.79	203.79	423.41	470.66	492.87	460.60	451.72	403.14	365.78	410.86	382.17	367.45	421.15	410.38	382.49	386.98	396.98	455.22	571.35	431.42	513.54	406.78	431.89	557.14	415.33	429.23	521.52	438.24	478.97	373.03	390.11	393.75	380.83
