GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01333	1.0904	A4.U3B	U	A
CLUG_01333	1.1323	A5.U10D	U	A
CLUG_01333	1.0921	A6.U5C	U	A
CLUG_01333	1.0761	A7.U3E	U	A
CLUG_01333	1.1396	A8.U2E	U	A
CLUG_01333	1.0972	A9.L3D	L	A
CLUG_01333	1.1333	ATCC42720	UNK	ATCC42720
CLUG_01333	1.2326	B16.1310D	UNK	B
CLUG_01333	1.2907	B17.1311G	UNK	B
CLUG_01333	1.1791	B18.1312G	UNK	B
CLUG_01333	1.1955	B19.1310A	UNK	B
CLUG_01333	1.1758	B20.1311A	UNK	B
CLUG_01333	1.1673	B21.1312A	UNK	B
CLUG_01333	1.1709	B22.134E	UNK	B
CLUG_01333	1.1279	B23.133H	UNK	B
CLUG_01333	1.1556	B24.133F	UNK	B
CLUG_01333	1.1832	B25.135C	UNK	B
CLUG_01333	1.0745	B26.131A	UNK	B
CLUG_01333	1.1075	B27.136A	UNK	B
CLUG_01333	1.0210	B28.13UM	UNK	B
CLUG_01333	1.2686	C10.9M3	UNK	C
CLUG_01333	1.1153	C11.9M41	UNK	C
CLUG_01333	1.1939	C12.9U1	UNK	C
CLUG_01333	1.1059	C13.9U2	UNK	C
CLUG_01333	1.0634	C14.9U3	UNK	C
CLUG_01333	1.1633	C15.9U4s	UNK	C
CLUG_01333	1.2283	C4.9L1	UNK	C
CLUG_01333	1.2631	C5.9L2	UNK	C
CLUG_01333	1.1194	C6.9L3	UNK	C
CLUG_01333	1.1350	C7.9L4	UNK	C
CLUG_01333	1.3302	C8.9M1	UNK	C
CLUG_01333	1.1785	C9.9M2	UNK	C
CLUG_01333	1.1629	ctl1.AL1B	L	A
CLUG_01333	1.1539	ctl2.AL1B	L	A
CLUG_01333	1.1062	ctl3.C9L1	UNK	C
CLUG_01334	1.1876	A10.L4C	L	A
CLUG_01334	1.1092	A11.L11G	L	A
CLUG_01334	1.0357	A12.L10B	L	A
CLUG_01334	1.1151	A13.L3B	L	A
CLUG_01334	1.0852	A14.L4E	L	A
CLUG_01334	1.1440	A15.L4G	L	A
CLUG_01334	1.1365	A16.L7C	L	A
CLUG_01334	1.1162	A17.L1B	L	A
CLUG_01334	1.2224	A18.S4H	S	A
CLUG_01334	1.1989	A19.S3B	S	A
CLUG_01334	1.1480	A2.U10A	U	A
CLUG_01334	1.1860	A20.S1E	S	A
CLUG_01334	1.1721	A21.S8A	S	A
CLUG_01334	1.1615	A22.UpperP	U	A
CLUG_01334	1.1508	A23.LowerP	L	A
CLUG_01334	1.1809	A24.SputuP	S	A
CLUG_01334	1.2373	A3.U3G	U	A
CLUG_01334	1.0793	A4.U3B	U	A
CLUG_01334	1.2592	A5.U10D	U	A
CLUG_01334	1.1138	A6.U5C	U	A
CLUG_01334	1.0695	A7.U3E	U	A
CLUG_01334	1.0940	A8.U2E	U	A
CLUG_01334	1.1747	A9.L3D	L	A
CLUG_01334	1.1114	ATCC42720	UNK	ATCC42720
CLUG_01334	1.2631	B16.1310D	UNK	B
CLUG_01334	1.3465	B17.1311G	UNK	B
CLUG_01334	1.1070	B18.1312G	UNK	B
CLUG_01334	1.2138	B19.1310A	UNK	B
CLUG_01334	1.1727	B20.1311A	UNK	B
CLUG_01334	1.1380	B21.1312A	UNK	B
CLUG_01334	1.2037	B22.134E	UNK	B
CLUG_01334	1.1824	B23.133H	UNK	B
CLUG_01334	1.1598	B24.133F	UNK	B
CLUG_01334	1.2738	B25.135C	UNK	B
CLUG_01334	1.0867	B26.131A	UNK	B
CLUG_01334	1.1025	B27.136A	UNK	B
CLUG_01334	0.9682	B28.13UM	UNK	B
CLUG_01334	1.2680	C10.9M3	UNK	C
CLUG_01334	1.2198	C11.9M41	UNK	C
CLUG_01334	1.1822	C12.9U1	UNK	C
CLUG_01334	1.0970	C13.9U2	UNK	C
CLUG_01334	1.1482	C14.9U3	UNK	C
CLUG_01334	1.1881	C15.9U4s	UNK	C
CLUG_01334	1.2101	C4.9L1	UNK	C
CLUG_01334	1.2704	C5.9L2	UNK	C
CLUG_01334	1.1331	C6.9L3	UNK	C
CLUG_01334	1.1838	C7.9L4	UNK	C
CLUG_01334	1.3468	C8.9M1	UNK	C
CLUG_01334	1.1257	C9.9M2	UNK	C
CLUG_01334	1.1600	ctl1.AL1B	L	A
CLUG_01334	1.1432	ctl2.AL1B	L	A
CLUG_01334	1.0466	ctl3.C9L1	UNK	C
CLUG_01335	1.1270	A10.L4C	L	A
CLUG_01335	1.1805	A11.L11G	L	A
CLUG_01335	1.0290	A12.L10B	L	A
CLUG_01335	1.0818	A13.L3B	L	A
CLUG_01335	1.3399	A14.L4E	L	A
CLUG_01335	1.0753	A15.L4G	L	A
CLUG_01335	1.1363	A16.L7C	L	A
CLUG_01335	1.0372	A17.L1B	L	A
CLUG_01335	1.0565	A18.S4H	S	A
CLUG_01335	1.3635	A19.S3B	S	A
CLUG_01335	1.1325	A2.U10A	U	A
CLUG_01335	1.1215	A20.S1E	S	A
CLUG_01335	1.3071	A21.S8A	S	A
CLUG_01335	1.2380	A22.UpperP	U	A
CLUG_01335	1.1762	A23.LowerP	L	A
CLUG_01335	1.1654	A24.SputuP	S	A
CLUG_01335	1.2117	A3.U3G	U	A
CLUG_01335	1.0425	A4.U3B	U	A
CLUG_01335	1.3120	A5.U10D	U	A
CLUG_01335	1.1277	A6.U5C	U	A
CLUG_01335	1.1035	A7.U3E	U	A
CLUG_01335	1.2064	A8.U2E	U	A
CLUG_01335	1.1150	A9.L3D	L	A
CLUG_01335	1.2589	ATCC42720	UNK	ATCC42720
CLUG_01335	1.2389	B16.1310D	UNK	B
CLUG_01335	1.3253	B17.1311G	UNK	B
CLUG_01335	1.2211	B18.1312G	UNK	B
CLUG_01335	1.2116	B19.1310A	UNK	B
CLUG_01335	1.2603	B20.1311A	UNK	B
CLUG_01335	1.2446	B21.1312A	UNK	B
CLUG_01335	1.2693	B22.134E	UNK	B
CLUG_01335	1.1670	B23.133H	UNK	B
CLUG_01335	1.1871	B24.133F	UNK	B
CLUG_01335	1.1888	B25.135C	UNK	B
CLUG_01335	1.0493	B26.131A	UNK	B
CLUG_01335	1.1200	B27.136A	UNK	B
CLUG_01335	1.0839	B28.13UM	UNK	B
CLUG_01335	1.3176	C10.9M3	UNK	C
CLUG_01335	1.2385	C11.9M41	UNK	C
CLUG_01335	1.1675	C12.9U1	UNK	C
CLUG_01335	1.1455	C13.9U2	UNK	C
CLUG_01335	1.1796	C14.9U3	UNK	C
CLUG_01335	1.2379	C15.9U4s	UNK	C
CLUG_01335	1.2148	C4.9L1	UNK	C
CLUG_01335	1.2914	C5.9L2	UNK	C
CLUG_01335	1.1585	C6.9L3	UNK	C
CLUG_01335	1.1404	C7.9L4	UNK	C
CLUG_01335	1.4185	C8.9M1	UNK	C
CLUG_01335	1.1281	C9.9M2	UNK	C
CLUG_01335	1.1933	ctl1.AL1B	L	A
CLUG_01335	1.1243	ctl2.AL1B	L	A
CLUG_01335	1.1057	ctl3.C9L1	UNK	C
CLUG_01336	1.1905	A10.L4C	L	A
CLUG_01336	1.1704	A11.L11G	L	A
CLUG_01336	1.1293	A12.L10B	L	A
CLUG_01336	1.1448	A13.L3B	L	A
CLUG_01336	1.2019	A14.L4E	L	A
CLUG_01336	1.0983	A15.L4G	L	A
CLUG_01336	1.1482	A16.L7C	L	A
CLUG_01336	1.1233	A17.L1B	L	A
CLUG_01336	1.2723	A18.S4H	S	A
CLUG_01336	1.2623	A19.S3B	S	A
CLUG_01336	1.1598	A2.U10A	U	A
CLUG_01336	1.2139	A20.S1E	S	A
CLUG_01336	1.1924	A21.S8A	S	A
CLUG_01336	1.2466	A22.UpperP	U	A
CLUG_01336	1.2249	A23.LowerP	L	A
CLUG_01336	1.2491	A24.SputuP	S	A
CLUG_01336	1.2420	A3.U3G	U	A
CLUG_01336	1.1417	A4.U3B	U	A
CLUG_01336	1.2514	A5.U10D	U	A
CLUG_01336	1.1283	A6.U5C	U	A
CLUG_01336	1.1699	A7.U3E	U	A
CLUG_01336	1.1665	A8.U2E	U	A
CLUG_01336	1.2028	A9.L3D	L	A
CLUG_01336	1.2108	ATCC42720	UNK	ATCC42720
CLUG_01336	1.2985	B16.1310D	UNK	B
CLUG_01336	1.3267	B17.1311G	UNK	B
CLUG_01336	1.2434	B18.1312G	UNK	B
CLUG_01336	1.2531	B19.1310A	UNK	B
CLUG_01336	1.2012	B20.1311A	UNK	B
CLUG_01336	1.1835	B21.1312A	UNK	B
CLUG_01336	1.2419	B22.134E	UNK	B
CLUG_01336	1.1553	B23.133H	UNK	B
CLUG_01336	1.1944	B24.133F	UNK	B
CLUG_01336	1.2627	B25.135C	UNK	B
CLUG_01336	1.1111	B26.131A	UNK	B
CLUG_01336	1.1089	B27.136A	UNK	B
CLUG_01336	1.0356	B28.13UM	UNK	B
CLUG_01336	1.2778	C10.9M3	UNK	C
CLUG_01336	1.2382	C11.9M41	UNK	C
CLUG_01336	1.2171	C12.9U1	UNK	C
CLUG_01336	1.1355	C13.9U2	UNK	C
CLUG_01336	1.1788	C14.9U3	UNK	C
CLUG_01336	1.1904	C15.9U4s	UNK	C
CLUG_01336	1.2406	C4.9L1	UNK	C
CLUG_01336	1.3004	C5.9L2	UNK	C
CLUG_01336	1.1576	C6.9L3	UNK	C
CLUG_01336	1.1637	C7.9L4	UNK	C
CLUG_01336	1.4103	C8.9M1	UNK	C
CLUG_01336	1.1577	C9.9M2	UNK	C
CLUG_01336	1.2070	ctl1.AL1B	L	A
CLUG_01336	1.1755	ctl2.AL1B	L	A
CLUG_01336	1.1399	ctl3.C9L1	UNK	C
CLUG_01337	1.1761	A10.L4C	L	A
CLUG_01337	1.1423	A11.L11G	L	A
CLUG_01337	1.1884	A12.L10B	L	A
CLUG_01337	1.1677	A13.L3B	L	A
CLUG_01337	1.1914	A14.L4E	L	A
CLUG_01337	1.0372	A15.L4G	L	A
CLUG_01337	1.0810	A16.L7C	L	A
CLUG_01337	1.1470	A17.L1B	L	A
CLUG_01337	1.1577	A18.S4H	S	A
CLUG_01337	1.1629	A19.S3B	S	A
CLUG_01337	1.1209	A2.U10A	U	A
CLUG_01337	1.1845	A20.S1E	S	A
CLUG_01337	1.1779	A21.S8A	S	A
CLUG_01337	1.1616	A22.UpperP	U	A
CLUG_01337	1.1209	A23.LowerP	L	A
CLUG_01337	1.1774	A24.SputuP	S	A
CLUG_01337	1.1189	A3.U3G	U	A
CLUG_01337	1.1444	A4.U3B	U	A
CLUG_01337	1.2360	A5.U10D	U	A
CLUG_01337	1.0945	A6.U5C	U	A
CLUG_01337	1.0733	A7.U3E	U	A
CLUG_01337	1.1798	A8.U2E	U	A
CLUG_01337	1.2011	A9.L3D	L	A
CLUG_01337	1.1324	ATCC42720	UNK	ATCC42720
CLUG_01337	1.2711	B16.1310D	UNK	B
CLUG_01337	1.2984	B17.1311G	UNK	B
CLUG_01337	1.1552	B18.1312G	UNK	B
CLUG_01337	1.2177	B19.1310A	UNK	B
CLUG_01337	1.2113	B20.1311A	UNK	B
CLUG_01337	1.2036	B21.1312A	UNK	B
CLUG_01337	1.1594	B22.134E	UNK	B
CLUG_01337	1.1589	B23.133H	UNK	B
CLUG_01337	1.1864	B24.133F	UNK	B
CLUG_01337	1.2632	B25.135C	UNK	B
CLUG_01337	1.1126	B26.131A	UNK	B
CLUG_01337	1.1448	B27.136A	UNK	B
CLUG_01337	1.0822	B28.13UM	UNK	B
CLUG_01337	1.3340	C10.9M3	UNK	C
CLUG_01337	1.1752	C11.9M41	UNK	C
CLUG_01337	1.2124	C12.9U1	UNK	C
CLUG_01337	1.1219	C13.9U2	UNK	C
CLUG_01337	1.1458	C14.9U3	UNK	C
CLUG_01337	1.1944	C15.9U4s	UNK	C
CLUG_01337	1.2205	C4.9L1	UNK	C
CLUG_01337	1.2730	C5.9L2	UNK	C
CLUG_01337	1.1431	C6.9L3	UNK	C
CLUG_01337	1.1632	C7.9L4	UNK	C
CLUG_01337	1.3493	C8.9M1	UNK	C
CLUG_01337	1.1585	C9.9M2	UNK	C
CLUG_01337	1.1431	ctl1.AL1B	L	A
CLUG_01337	1.1798	ctl2.AL1B	L	A
CLUG_01337	1.1241	ctl3.C9L1	UNK	C
CLUG_01338	1.0597	A10.L4C	L	A
CLUG_01338	1.0620	A11.L11G	L	A
CLUG_01338	1.0449	A12.L10B	L	A
CLUG_01338	1.1180	A13.L3B	L	A
CLUG_01338	1.0751	A14.L4E	L	A
CLUG_01338	0.9928	A15.L4G	L	A
CLUG_01338	1.0170	A16.L7C	L	A
CLUG_01338	1.1506	A17.L1B	L	A
CLUG_01338	1.0770	A18.S4H	S	A
CLUG_01338	1.0505	A19.S3B	S	A
CLUG_01338	0.9824	A2.U10A	U	A
CLUG_01338	1.0374	A20.S1E	S	A
CLUG_01338	1.0727	A21.S8A	S	A
CLUG_01338	1.0492	A22.UpperP	U	A
CLUG_01338	1.0672	A23.LowerP	L	A
CLUG_01338	1.0584	A24.SputuP	S	A
CLUG_01338	1.1696	A3.U3G	U	A
CLUG_01338	1.0745	A4.U3B	U	A
CLUG_01338	1.1652	A5.U10D	U	A
CLUG_01338	1.0710	A6.U5C	U	A
CLUG_01338	1.0308	A7.U3E	U	A
CLUG_01338	1.0803	A8.U2E	U	A
CLUG_01338	1.0617	A9.L3D	L	A
CLUG_01338	1.0135	ATCC42720	UNK	ATCC42720
CLUG_01338	1.2088	B16.1310D	UNK	B
CLUG_01338	1.2572	B17.1311G	UNK	B
CLUG_01338	1.1420	B18.1312G	UNK	B
CLUG_01338	1.1591	B19.1310A	UNK	B
CLUG_01338	1.0947	B20.1311A	UNK	B
CLUG_01338	1.1111	B21.1312A	UNK	B
CLUG_01338	1.1132	B22.134E	UNK	B
CLUG_01338	1.0749	B23.133H	UNK	B
CLUG_01338	1.1223	B24.133F	UNK	B
CLUG_01338	1.1702	B25.135C	UNK	B
CLUG_01338	1.0631	B26.131A	UNK	B
CLUG_01338	1.0606	B27.136A	UNK	B
CLUG_01338	1.0553	B28.13UM	UNK	B
CLUG_01338	1.3156	C10.9M3	UNK	C
CLUG_01338	1.1666	C11.9M41	UNK	C
CLUG_01338	1.2182	C12.9U1	UNK	C
CLUG_01338	1.0972	C13.9U2	UNK	C
CLUG_01338	1.1025	C14.9U3	UNK	C
CLUG_01338	1.1782	C15.9U4s	UNK	C
CLUG_01338	1.2266	C4.9L1	UNK	C
CLUG_01338	1.2752	C5.9L2	UNK	C
CLUG_01338	1.1390	C6.9L3	UNK	C
CLUG_01338	1.2252	C7.9L4	UNK	C
CLUG_01338	1.3851	C8.9M1	UNK	C
CLUG_01338	1.1454	C9.9M2	UNK	C
CLUG_01338	1.1094	ctl1.AL1B	L	A
CLUG_01338	1.1167	ctl2.AL1B	L	A
CLUG_01338	1.1503	ctl3.C9L1	UNK	C
CLUG_01339	1.0514	A10.L4C	L	A
CLUG_01339	1.0405	A11.L11G	L	A
CLUG_01339	1.0601	A12.L10B	L	A
CLUG_01339	1.0027	A13.L3B	L	A
CLUG_01339	1.0753	A14.L4E	L	A
CLUG_01339	0.9349	A15.L4G	L	A
CLUG_01339	1.0797	A16.L7C	L	A
CLUG_01339	0.9956	A17.L1B	L	A
CLUG_01339	1.0880	A18.S4H	S	A
CLUG_01339	1.0869	A19.S3B	S	A
CLUG_01339	1.0105	A2.U10A	U	A
CLUG_01339	0.9929	A20.S1E	S	A
CLUG_01339	1.1579	A21.S8A	S	A
CLUG_01339	1.0281	A22.UpperP	U	A
CLUG_01339	1.0502	A23.LowerP	L	A
CLUG_01339	1.0483	A24.SputuP	S	A
CLUG_01339	1.0532	A3.U3G	U	A
CLUG_01339	1.0524	A4.U3B	U	A
CLUG_01339	1.0572	A5.U10D	U	A
CLUG_01339	1.0152	A6.U5C	U	A
CLUG_01339	0.9918	A7.U3E	U	A
CLUG_01339	0.9869	A8.U2E	U	A
CLUG_01339	1.0627	A9.L3D	L	A
CLUG_01339	1.0462	ATCC42720	UNK	ATCC42720
CLUG_01339	1.1497	B16.1310D	UNK	B
CLUG_01339	1.2105	B17.1311G	UNK	B
CLUG_01339	1.1057	B18.1312G	UNK	B
CLUG_01339	1.1624	B19.1310A	UNK	B
CLUG_01339	1.0752	B20.1311A	UNK	B
CLUG_01339	1.0872	B21.1312A	UNK	B
CLUG_01339	1.1106	B22.134E	UNK	B
CLUG_01339	1.0422	B23.133H	UNK	B
CLUG_01339	1.0471	B24.133F	UNK	B
CLUG_01339	1.1207	B25.135C	UNK	B
CLUG_01339	1.0481	B26.131A	UNK	B
CLUG_01339	1.0293	B27.136A	UNK	B
CLUG_01339	0.9678	B28.13UM	UNK	B
CLUG_01339	1.2202	C10.9M3	UNK	C
CLUG_01339	1.1139	C11.9M41	UNK	C
CLUG_01339	1.1186	C12.9U1	UNK	C
CLUG_01339	1.0297	C13.9U2	UNK	C
CLUG_01339	1.1062	C14.9U3	UNK	C
CLUG_01339	1.1293	C15.9U4s	UNK	C
CLUG_01339	1.1064	C4.9L1	UNK	C
CLUG_01339	1.2049	C5.9L2	UNK	C
CLUG_01339	1.0949	C6.9L3	UNK	C
CLUG_01339	1.1236	C7.9L4	UNK	C
CLUG_01339	1.2784	C8.9M1	UNK	C
CLUG_01339	1.0756	C9.9M2	UNK	C
CLUG_01339	1.0824	ctl1.AL1B	L	A
CLUG_01339	1.0684	ctl2.AL1B	L	A
CLUG_01339	1.0771	ctl3.C9L1	UNK	C
CLUG_01340	1.1365	A10.L4C	L	A
CLUG_01340	1.0793	A11.L11G	L	A
CLUG_01340	1.0592	A12.L10B	L	A
CLUG_01340	1.0912	A13.L3B	L	A
CLUG_01340	1.0780	A14.L4E	L	A
CLUG_01340	1.0265	A15.L4G	L	A
CLUG_01340	1.0831	A16.L7C	L	A
CLUG_01340	1.0690	A17.L1B	L	A
CLUG_01340	1.0849	A18.S4H	S	A
CLUG_01340	1.2043	A19.S3B	S	A
CLUG_01340	1.1000	A2.U10A	U	A
CLUG_01340	1.0716	A20.S1E	S	A
CLUG_01340	1.1441	A21.S8A	S	A
CLUG_01340	1.1301	A22.UpperP	U	A
CLUG_01340	1.1480	A23.LowerP	L	A
CLUG_01340	1.1904	A24.SputuP	S	A
CLUG_01340	1.0550	A3.U3G	U	A
CLUG_01340	1.0998	A4.U3B	U	A
CLUG_01340	1.1277	A5.U10D	U	A
CLUG_01340	1.1004	A6.U5C	U	A
CLUG_01340	1.0496	A7.U3E	U	A
CLUG_01340	1.0879	A8.U2E	U	A
CLUG_01340	1.1453	A9.L3D	L	A
CLUG_01340	1.0978	ATCC42720	UNK	ATCC42720
CLUG_01340	1.2658	B16.1310D	UNK	B
CLUG_01340	1.2754	B17.1311G	UNK	B
CLUG_01340	1.1505	B18.1312G	UNK	B
CLUG_01340	1.1507	B19.1310A	UNK	B
CLUG_01340	1.1338	B20.1311A	UNK	B
CLUG_01340	1.1364	B21.1312A	UNK	B
CLUG_01340	1.1696	B22.134E	UNK	B
CLUG_01340	1.1247	B23.133H	UNK	B
CLUG_01340	1.1211	B24.133F	UNK	B
CLUG_01340	1.1946	B25.135C	UNK	B
CLUG_01340	1.1152	B26.131A	UNK	B
CLUG_01340	1.0783	B27.136A	UNK	B
CLUG_01340	0.9988	B28.13UM	UNK	B
CLUG_01340	1.2238	C10.9M3	UNK	C
CLUG_01340	1.1638	C11.9M41	UNK	C
CLUG_01340	1.1304	C12.9U1	UNK	C
CLUG_01340	1.0334	C13.9U2	UNK	C
CLUG_01340	1.0955	C14.9U3	UNK	C
CLUG_01340	1.0940	C15.9U4s	UNK	C
CLUG_01340	1.2011	C4.9L1	UNK	C
CLUG_01340	1.2739	C5.9L2	UNK	C
CLUG_01340	1.0776	C6.9L3	UNK	C
CLUG_01340	1.1210	C7.9L4	UNK	C
CLUG_01340	1.3186	C8.9M1	UNK	C
CLUG_01340	1.1033	C9.9M2	UNK	C
CLUG_01340	1.1005	ctl1.AL1B	L	A
CLUG_01340	1.1574	ctl2.AL1B	L	A
CLUG_01340	1.0993	ctl3.C9L1	UNK	C
CLUG_01341	1.1789	A10.L4C	L	A
CLUG_01341	1.1208	A11.L11G	L	A
CLUG_01341	1.0478	A12.L10B	L	A
CLUG_01341	1.1735	A13.L3B	L	A
CLUG_01341	1.1571	A14.L4E	L	A
CLUG_01341	1.0648	A15.L4G	L	A
CLUG_01341	1.0952	A16.L7C	L	A
CLUG_01341	1.1832	A17.L1B	L	A
CLUG_01341	1.1573	A18.S4H	S	A
CLUG_01341	1.2063	A19.S3B	S	A
CLUG_01341	1.0587	A2.U10A	U	A
CLUG_01341	1.1056	A20.S1E	S	A
CLUG_01341	1.1526	A21.S8A	S	A
CLUG_01341	1.1458	A22.UpperP	U	A
CLUG_01341	1.1221	A23.LowerP	L	A
CLUG_01341	1.1670	A24.SputuP	S	A
CLUG_01341	1.1387	A3.U3G	U	A
CLUG_01341	1.1911	A4.U3B	U	A
CLUG_01341	1.1994	A5.U10D	U	A
CLUG_01341	1.1310	A6.U5C	U	A
CLUG_01341	1.0570	A7.U3E	U	A
CLUG_01341	1.1383	A8.U2E	U	A
CLUG_01341	1.1661	A9.L3D	L	A
CLUG_01341	1.1228	ATCC42720	UNK	ATCC42720
CLUG_01341	1.2230	B16.1310D	UNK	B
CLUG_01341	1.2737	B17.1311G	UNK	B
CLUG_01341	1.1599	B18.1312G	UNK	B
CLUG_01341	1.1915	B19.1310A	UNK	B
CLUG_01341	1.1580	B20.1311A	UNK	B
CLUG_01341	1.0842	B21.1312A	UNK	B
CLUG_01341	1.1316	B22.134E	UNK	B
CLUG_01341	1.0947	B23.133H	UNK	B
CLUG_01341	1.1077	B24.133F	UNK	B
CLUG_01341	1.2100	B25.135C	UNK	B
CLUG_01341	1.0771	B26.131A	UNK	B
CLUG_01341	1.0866	B27.136A	UNK	B
CLUG_01341	1.0261	B28.13UM	UNK	B
CLUG_01341	1.2056	C10.9M3	UNK	C
CLUG_01341	1.2393	C11.9M41	UNK	C
CLUG_01341	1.1273	C12.9U1	UNK	C
CLUG_01341	1.1153	C13.9U2	UNK	C
CLUG_01341	1.0826	C14.9U3	UNK	C
CLUG_01341	1.1672	C15.9U4s	UNK	C
CLUG_01341	1.1711	C4.9L1	UNK	C
CLUG_01341	1.2340	C5.9L2	UNK	C
CLUG_01341	1.1161	C6.9L3	UNK	C
CLUG_01341	1.1500	C7.9L4	UNK	C
CLUG_01341	1.3208	C8.9M1	UNK	C
CLUG_01341	1.0822	C9.9M2	UNK	C
CLUG_01341	1.1619	ctl1.AL1B	L	A
CLUG_01341	1.1864	ctl2.AL1B	L	A
CLUG_01341	1.0956	ctl3.C9L1	UNK	C
CLUG_01342	1.0980	A10.L4C	L	A
CLUG_01342	1.0495	A11.L11G	L	A
CLUG_01342	0.9392	A12.L10B	L	A
CLUG_01342	1.0788	A13.L3B	L	A
CLUG_01342	0.8950	A14.L4E	L	A
CLUG_01342	1.0658	A15.L4G	L	A
CLUG_01342	1.1188	A16.L7C	L	A
CLUG_01342	1.0324	A17.L1B	L	A
CLUG_01342	1.0914	A18.S4H	S	A
CLUG_01342	1.1324	A19.S3B	S	A
CLUG_01342	0.9595	A2.U10A	U	A
CLUG_01342	1.0651	A20.S1E	S	A
CLUG_01342	1.1246	A21.S8A	S	A
CLUG_01342	1.1013	A22.UpperP	U	A
CLUG_01342	1.0393	A23.LowerP	L	A
CLUG_01342	1.0164	A24.SputuP	S	A
CLUG_01342	1.0423	A3.U3G	U	A
CLUG_01342	0.9481	A4.U3B	U	A
CLUG_01342	1.1174	A5.U10D	U	A
CLUG_01342	1.0254	A6.U5C	U	A
CLUG_01342	1.0301	A7.U3E	U	A
CLUG_01342	1.0122	A8.U2E	U	A
CLUG_01342	1.0104	A9.L3D	L	A
CLUG_01342	1.0972	ATCC42720	UNK	ATCC42720
CLUG_01342	1.1775	B16.1310D	UNK	B
CLUG_01342	1.2926	B17.1311G	UNK	B
CLUG_01342	1.1407	B18.1312G	UNK	B
CLUG_01342	1.1005	B19.1310A	UNK	B
CLUG_01342	1.1432	B20.1311A	UNK	B
CLUG_01342	1.1028	B21.1312A	UNK	B
CLUG_01342	1.2007	B22.134E	UNK	B
CLUG_01342	1.0661	B23.133H	UNK	B
CLUG_01342	1.0841	B24.133F	UNK	B
CLUG_01342	1.2078	B25.135C	UNK	B
CLUG_01342	1.1004	B26.131A	UNK	B
CLUG_01342	1.1186	B27.136A	UNK	B
CLUG_01342	1.0924	B28.13UM	UNK	B
CLUG_01342	1.2848	C10.9M3	UNK	C
CLUG_01342	1.1950	C11.9M41	UNK	C
CLUG_01342	1.1387	C12.9U1	UNK	C
CLUG_01342	1.1142	C13.9U2	UNK	C
CLUG_01342	1.1262	C14.9U3	UNK	C
CLUG_01342	1.1811	C15.9U4s	UNK	C
CLUG_01342	1.2304	C4.9L1	UNK	C
CLUG_01342	1.2646	C5.9L2	UNK	C
CLUG_01342	1.1109	C6.9L3	UNK	C
CLUG_01342	1.2089	C7.9L4	UNK	C
CLUG_01342	1.3290	C8.9M1	UNK	C
CLUG_01342	1.0004	C9.9M2	UNK	C
CLUG_01342	1.1749	ctl1.AL1B	L	A
CLUG_01342	1.1565	ctl2.AL1B	L	A
CLUG_01342	1.1075	ctl3.C9L1	UNK	C
CLUG_01343	1.0571	A10.L4C	L	A
CLUG_01343	1.0224	A11.L11G	L	A
CLUG_01343	0.9585	A12.L10B	L	A
CLUG_01343	1.0921	A13.L3B	L	A
CLUG_01343	1.0866	A14.L4E	L	A
CLUG_01343	0.9823	A15.L4G	L	A
CLUG_01343	1.0454	A16.L7C	L	A
CLUG_01343	1.0181	A17.L1B	L	A
CLUG_01343	1.0831	A18.S4H	S	A
CLUG_01343	1.0243	A19.S3B	S	A
CLUG_01343	1.0324	A2.U10A	U	A
CLUG_01343	1.1216	A20.S1E	S	A
CLUG_01343	1.0946	A21.S8A	S	A
CLUG_01343	1.0211	A22.UpperP	U	A
CLUG_01343	1.0279	A23.LowerP	L	A
CLUG_01343	1.0797	A24.SputuP	S	A
CLUG_01343	0.9947	A3.U3G	U	A
CLUG_01343	1.0947	A4.U3B	U	A
CLUG_01343	1.1448	A5.U10D	U	A
CLUG_01343	1.0332	A6.U5C	U	A
CLUG_01343	1.0551	A7.U3E	U	A
CLUG_01343	1.0689	A8.U2E	U	A
CLUG_01343	1.0516	A9.L3D	L	A
CLUG_01343	1.0052	ATCC42720	UNK	ATCC42720
CLUG_01343	1.1338	B16.1310D	UNK	B
CLUG_01343	1.2051	B17.1311G	UNK	B
CLUG_01343	1.0999	B18.1312G	UNK	B
CLUG_01343	1.1019	B19.1310A	UNK	B
CLUG_01343	1.0134	B20.1311A	UNK	B
CLUG_01343	1.0881	B21.1312A	UNK	B
CLUG_01343	1.1441	B22.134E	UNK	B
CLUG_01343	1.0553	B23.133H	UNK	B
CLUG_01343	1.1041	B24.133F	UNK	B
CLUG_01343	1.1617	B25.135C	UNK	B
CLUG_01343	1.0412	B26.131A	UNK	B
CLUG_01343	1.0526	B27.136A	UNK	B
CLUG_01343	1.0127	B28.13UM	UNK	B
CLUG_01343	1.2242	C10.9M3	UNK	C
CLUG_01343	1.0823	C11.9M41	UNK	C
CLUG_01343	1.0805	C12.9U1	UNK	C
CLUG_01343	1.0520	C13.9U2	UNK	C
CLUG_01343	1.0811	C14.9U3	UNK	C
CLUG_01343	1.1093	C15.9U4s	UNK	C
CLUG_01343	1.1438	C4.9L1	UNK	C
CLUG_01343	1.2171	C5.9L2	UNK	C
CLUG_01343	1.0474	C6.9L3	UNK	C
CLUG_01343	1.1282	C7.9L4	UNK	C
CLUG_01343	1.2682	C8.9M1	UNK	C
CLUG_01343	1.0268	C9.9M2	UNK	C
