GENE	COVERAGE	STRAIN	LOCALE	GROUP
CLUG_01212	1.6326	A16.L7C	L	A
CLUG_01212	1.4940	A17.L1B	L	A
CLUG_01212	1.6026	A18.S4H	S	A
CLUG_01212	1.4567	A19.S3B	S	A
CLUG_01212	1.5513	A2.U10A	U	A
CLUG_01212	1.6390	A20.S1E	S	A
CLUG_01212	1.4119	A21.S8A	S	A
CLUG_01212	1.5578	A22.UpperP	U	A
CLUG_01212	1.5686	A23.LowerP	L	A
CLUG_01212	1.4131	A24.SputuP	S	A
CLUG_01212	1.7378	A3.U3G	U	A
CLUG_01212	1.5800	A4.U3B	U	A
CLUG_01212	1.6935	A5.U10D	U	A
CLUG_01212	1.4651	A6.U5C	U	A
CLUG_01212	1.4823	A7.U3E	U	A
CLUG_01212	1.4740	A8.U2E	U	A
CLUG_01212	1.5697	A9.L3D	L	A
CLUG_01212	1.5403	ATCC42720	UNK	ATCC42720
CLUG_01212	1.7521	B16.1310D	UNK	B
CLUG_01212	1.8441	B17.1311G	UNK	B
CLUG_01212	1.7122	B18.1312G	UNK	B
CLUG_01212	1.5108	B19.1310A	UNK	B
CLUG_01212	1.8465	B20.1311A	UNK	B
CLUG_01212	1.7108	B21.1312A	UNK	B
CLUG_01212	1.6084	B22.134E	UNK	B
CLUG_01212	1.7299	B23.133H	UNK	B
CLUG_01212	1.5534	B24.133F	UNK	B
CLUG_01212	1.6367	B25.135C	UNK	B
CLUG_01212	1.6212	B26.131A	UNK	B
CLUG_01212	1.4700	B27.136A	UNK	B
CLUG_01212	1.7678	B28.13UM	UNK	B
CLUG_01212	2.1851	C10.9M3	UNK	C
CLUG_01212	2.0369	C11.9M41	UNK	C
CLUG_01212	2.2717	C12.9U1	UNK	C
CLUG_01212	1.5465	C13.9U2	UNK	C
CLUG_01212	1.7032	C14.9U3	UNK	C
CLUG_01212	1.5382	C15.9U4s	UNK	C
CLUG_01212	1.8849	C4.9L1	UNK	C
CLUG_01212	1.8851	C5.9L2	UNK	C
CLUG_01212	1.7970	C6.9L3	UNK	C
CLUG_01212	1.9740	C7.9L4	UNK	C
CLUG_01212	2.0815	C8.9M1	UNK	C
CLUG_01212	1.6582	C9.9M2	UNK	C
CLUG_01212	1.4705	ctl1.AL1B	L	A
CLUG_01212	1.5385	ctl2.AL1B	L	A
CLUG_01212	1.6528	ctl3.C9L1	UNK	C
CLUG_01213	1.6023	A10.L4C	L	A
CLUG_01213	1.5718	A11.L11G	L	A
CLUG_01213	1.5810	A12.L10B	L	A
CLUG_01213	1.5901	A13.L3B	L	A
CLUG_01213	1.5802	A14.L4E	L	A
CLUG_01213	1.5144	A15.L4G	L	A
CLUG_01213	1.5509	A16.L7C	L	A
CLUG_01213	1.7145	A17.L1B	L	A
CLUG_01213	1.5142	A18.S4H	S	A
CLUG_01213	1.6184	A19.S3B	S	A
CLUG_01213	1.7068	A2.U10A	U	A
CLUG_01213	1.6657	A20.S1E	S	A
CLUG_01213	1.5603	A21.S8A	S	A
CLUG_01213	1.5044	A22.UpperP	U	A
CLUG_01213	1.5915	A23.LowerP	L	A
CLUG_01213	1.5455	A24.SputuP	S	A
CLUG_01213	1.6907	A3.U3G	U	A
CLUG_01213	1.4357	A4.U3B	U	A
CLUG_01213	1.6692	A5.U10D	U	A
CLUG_01213	1.4667	A6.U5C	U	A
CLUG_01213	1.5462	A7.U3E	U	A
CLUG_01213	1.5899	A8.U2E	U	A
CLUG_01213	1.6816	A9.L3D	L	A
CLUG_01213	1.5633	ATCC42720	UNK	ATCC42720
CLUG_01213	1.7377	B16.1310D	UNK	B
CLUG_01213	1.8409	B17.1311G	UNK	B
CLUG_01213	1.8196	B18.1312G	UNK	B
CLUG_01213	1.5652	B19.1310A	UNK	B
CLUG_01213	1.8777	B20.1311A	UNK	B
CLUG_01213	1.7333	B21.1312A	UNK	B
CLUG_01213	1.6870	B22.134E	UNK	B
CLUG_01213	1.8133	B23.133H	UNK	B
CLUG_01213	1.5725	B24.133F	UNK	B
CLUG_01213	1.6356	B25.135C	UNK	B
CLUG_01213	1.6678	B26.131A	UNK	B
CLUG_01213	1.4955	B27.136A	UNK	B
CLUG_01213	1.7865	B28.13UM	UNK	B
CLUG_01213	2.0395	C10.9M3	UNK	C
CLUG_01213	2.0504	C11.9M41	UNK	C
CLUG_01213	2.2666	C12.9U1	UNK	C
CLUG_01213	1.6160	C13.9U2	UNK	C
CLUG_01213	1.7625	C14.9U3	UNK	C
CLUG_01213	1.5798	C15.9U4s	UNK	C
CLUG_01213	1.8656	C4.9L1	UNK	C
CLUG_01213	1.9574	C5.9L2	UNK	C
CLUG_01213	1.9016	C6.9L3	UNK	C
CLUG_01213	1.9307	C7.9L4	UNK	C
CLUG_01213	2.1114	C8.9M1	UNK	C
